"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.75625
"2" "all" "Face&Place" "all" "propcorrect" 0.7875
"3" "0-Back" "Face&Place" "all" "propcorrect" 0.95
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.625
"5" "0-Back" "Face&Place" "target" "propcorrect" 0.875
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 0.95
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 0.96875
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.375
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.5
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.75
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.6875
"13" "all" "Face" "all" "propcorrect" 0.825
"14" "all" "Place" "all" "propcorrect" 0.75
"15" "all" "Body" "all" "propcorrect" 0.625
"16" "all" "Tools" "all" "propcorrect" 0.825
"17" "0-Back" "all" "all" "propcorrect" 0.875
"18" "2-Back" "all" "all" "propcorrect" 0.6375
"19" "0-Back" "Face" "all" "propcorrect" 0.95
"20" "2-Back" "Face" "all" "propcorrect" 0.7
"21" "0-Back" "Place" "all" "propcorrect" 0.95
"22" "2-Back" "Place" "all" "propcorrect" 0.55
"23" "0-Back" "Body" "all" "propcorrect" 0.6
"24" "2-Back" "Body" "all" "propcorrect" 0.65
"25" "0-Back" "Tools" "all" "propcorrect" 1
"26" "2-Back" "Tools" "all" "propcorrect" 0.65
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 0.9
"30" "0-Back" "Face" "nontarget" "propcorrect" 0.9375
"31" "2-Back" "Face" "target" "propcorrect" 0.5
"32" "2-Back" "Face" "lure" "propcorrect" 0.75
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.75
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.75
"35" "0-Back" "Place" "target" "propcorrect" 0.75
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 0.25
"40" "2-Back" "Place" "lure" "propcorrect" 0.25
"41" "2-Back" "Place" "nonlure" "propcorrect" 0.75
"42" "2-Back" "Place" "nontarget" "propcorrect" 0.625
"43" "0-Back" "Body" "target" "propcorrect" 0.25
"44" "0-Back" "Body" "lure" "propcorrect" 0.333333333333333
"45" "0-Back" "Body" "nonlure" "propcorrect" 0.9
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.6875
"47" "2-Back" "Body" "target" "propcorrect" 0.5
"48" "2-Back" "Body" "lure" "propcorrect" 0.5
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.75
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.6875
"51" "0-Back" "Tools" "target" "propcorrect" 1
"52" "0-Back" "Tools" "lure" "propcorrect" 1
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 1
"55" "2-Back" "Tools" "target" "propcorrect" 0.5
"56" "2-Back" "Tools" "lure" "propcorrect" 0.25
"57" "2-Back" "Tools" "nonlure" "propcorrect" 0.833333333333333
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.6875
"59" "all" "all" NA "dprime" 1.05227808224273
"60" "all" "Face&Place" NA "dprime" 1.22646173592895
"61" "0-Back" "Face&Place" NA "dprime" 2.6580431956866
"62" "2-Back" "Face&Place" NA "dprime" 0.190572973929759
"63" "0-Back" "all" NA "dprime" 1.91045578317679
"64" "2-Back" "all" NA "dprime" 0.332657322390657
"65" "all" "Face" NA "dprime" 1.55687736395148
"66" "all" "Place" NA "dprime" 0.852495034274694
"67" "all" "Body" NA "dprime" 0.190572973929759
"68" "all" "Tools" NA "dprime" 1.55687736395148
"69" "0-Back" "Face" NA "dprime" 2.63325380547526
"70" "2-Back" "Face" NA "dprime" 0.62890421763219
"71" "0-Back" "Place" NA "dprime" 2.41391047304147
"72" "2-Back" "Place" NA "dprime" -0.225093602242374
"73" "0-Back" "Body" NA "dprime" -0.0665485816955457
"74" "2-Back" "Body" NA "dprime" 0.457851931012495
"75" "0-Back" "Tools" NA "dprime" 3.17106152587803
"76" "2-Back" "Tools" NA "dprime" 0.457851931012495
"77" "all" "all" "all" "medianRT" 976
"78" "all" "all" "all" "meanRT" 1053.01652892562
"79" "all" "Face&Place" "all" "medianRT" 918
"80" "all" "Face&Place" "all" "meanRT" 1031.33333333333
"81" "0-Back" "Face&Place" "all" "medianRT" 872
"82" "0-Back" "Face&Place" "all" "meanRT" 986.157894736842
"83" "2-Back" "Face&Place" "all" "medianRT" 1063
"84" "2-Back" "Face&Place" "all" "meanRT" 1100
"85" "0-Back" "Face&Place" "target" "medianRT" 770
"86" "0-Back" "Face&Place" "target" "meanRT" 1081.28571428571
"87" "0-Back" "Face&Place" "lure" "medianRT" 938
"88" "0-Back" "Face&Place" "lure" "meanRT" 1057.08333333333
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 871
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 906.315789473684
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 873
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 964.677419354839
"93" "2-Back" "Face&Place" "target" "medianRT" 1309
"94" "2-Back" "Face&Place" "target" "meanRT" 1462.66666666667
"95" "2-Back" "Face&Place" "lure" "medianRT" 1050
"96" "2-Back" "Face&Place" "lure" "meanRT" 1078.75
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 948
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 1044.27777777778
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 984
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1050.54545454545
"101" "all" "Face" "all" "medianRT" 978
"102" "all" "Face" "all" "meanRT" 1019.87878787879
"103" "all" "Place" "all" "medianRT" 896
"104" "all" "Place" "all" "meanRT" 1043.93333333333
"105" "all" "Body" "all" "medianRT" 1059
"106" "all" "Body" "all" "meanRT" 1195.44
"107" "all" "Tools" "all" "medianRT" 929
"108" "all" "Tools" "all" "meanRT" 986.515151515152
"109" "0-Back" "all" "all" "medianRT" 968.5
"110" "0-Back" "all" "all" "meanRT" 1038.01428571429
"111" "2-Back" "all" "all" "medianRT" 990
"112" "2-Back" "all" "all" "meanRT" 1073.60784313725
"113" "0-Back" "Face" "all" "medianRT" 731
"114" "0-Back" "Face" "all" "meanRT" 993.842105263158
"115" "2-Back" "Face" "all" "medianRT" 1026.5
"116" "2-Back" "Face" "all" "meanRT" 1055.21428571429
"117" "0-Back" "Place" "all" "medianRT" 880
"118" "0-Back" "Place" "all" "meanRT" 978.473684210526
"119" "2-Back" "Place" "all" "medianRT" 1089
"120" "2-Back" "Place" "all" "meanRT" 1157
"121" "0-Back" "Body" "all" "medianRT" 1219.5
"122" "0-Back" "Body" "all" "meanRT" 1262.41666666667
"123" "2-Back" "Body" "all" "medianRT" 1058
"124" "2-Back" "Body" "all" "meanRT" 1133.61538461538
"125" "0-Back" "Tools" "all" "medianRT" 931.5
"126" "0-Back" "Tools" "all" "meanRT" 1001.9
"127" "2-Back" "Tools" "all" "medianRT" 874
"128" "2-Back" "Tools" "all" "meanRT" 962.846153846154
"129" "0-Back" "Face" "target" "medianRT" 1020.5
"130" "0-Back" "Face" "target" "meanRT" 1120
"131" "0-Back" "Face" "lure" "medianRT" 1034
"132" "0-Back" "Face" "lure" "meanRT" 1060.83333333333
"133" "0-Back" "Face" "nonlure" "medianRT" 802
"134" "0-Back" "Face" "nonlure" "meanRT" 936
"135" "0-Back" "Face" "nontarget" "medianRT" 802
"136" "0-Back" "Face" "nontarget" "meanRT" 982.8125
"137" "2-Back" "Face" "target" "medianRT" 1252
"138" "2-Back" "Face" "target" "meanRT" 1172
"139" "2-Back" "Face" "lure" "medianRT" 1050
"140" "2-Back" "Face" "lure" "meanRT" 1109.25
"141" "2-Back" "Face" "nonlure" "medianRT" 1063
"142" "2-Back" "Face" "nonlure" "meanRT" 1187.45454545455
"143" "2-Back" "Face" "nontarget" "medianRT" 1063
"144" "2-Back" "Face" "nontarget" "meanRT" 1166.6
"145" "0-Back" "Place" "target" "medianRT" 1066.5
"146" "0-Back" "Place" "target" "meanRT" 1113
"147" "0-Back" "Place" "lure" "medianRT" 938
"148" "0-Back" "Place" "lure" "meanRT" 1053.33333333333
"149" "0-Back" "Place" "nonlure" "medianRT" 875.5
"150" "0-Back" "Place" "nonlure" "meanRT" 918.2
"151" "0-Back" "Place" "nontarget" "medianRT" 896
"152" "0-Back" "Place" "nontarget" "meanRT" 968.875
"153" "2-Back" "Place" "target" "medianRT" 1493.5
"154" "2-Back" "Place" "target" "meanRT" 1477.25
"155" "2-Back" "Place" "lure" "medianRT" 1074
