"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.84375
"2" "all" "Face&Place" "all" "propcorrect" 0.875
"3" "0-Back" "Face&Place" "all" "propcorrect" 1
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.75
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 1
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.75
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.75
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.75
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.75
"13" "all" "Face" "all" "propcorrect" 0.85
"14" "all" "Place" "all" "propcorrect" 0.9
"15" "all" "Body" "all" "propcorrect" 0.775
"16" "all" "Tools" "all" "propcorrect" 0.85
"17" "0-Back" "all" "all" "propcorrect" 0.9875
"18" "2-Back" "all" "all" "propcorrect" 0.7
"19" "0-Back" "Face" "all" "propcorrect" 1
"20" "2-Back" "Face" "all" "propcorrect" 0.7
"21" "0-Back" "Place" "all" "propcorrect" 1
"22" "2-Back" "Place" "all" "propcorrect" 0.8
"23" "0-Back" "Body" "all" "propcorrect" 0.95
"24" "2-Back" "Body" "all" "propcorrect" 0.6
"25" "0-Back" "Tools" "all" "propcorrect" 1
"26" "2-Back" "Tools" "all" "propcorrect" 0.7
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 1
"31" "2-Back" "Face" "target" "propcorrect" 1
"32" "2-Back" "Face" "lure" "propcorrect" 0.75
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.583333333333333
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.625
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 0.5
"40" "2-Back" "Place" "lure" "propcorrect" 0.75
"41" "2-Back" "Place" "nonlure" "propcorrect" 0.916666666666667
"42" "2-Back" "Place" "nontarget" "propcorrect" 0.875
"43" "0-Back" "Body" "target" "propcorrect" 1
"44" "0-Back" "Body" "lure" "propcorrect" 0.833333333333333
"45" "0-Back" "Body" "nonlure" "propcorrect" 1
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.9375
"47" "2-Back" "Body" "target" "propcorrect" 0.5
"48" "2-Back" "Body" "lure" "propcorrect" 0.25
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.75
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.625
"51" "0-Back" "Tools" "target" "propcorrect" 1
"52" "0-Back" "Tools" "lure" "propcorrect" 1
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 1
"55" "2-Back" "Tools" "target" "propcorrect" 0.25
"56" "2-Back" "Tools" "lure" "propcorrect" 0.5
"57" "2-Back" "Tools" "nonlure" "propcorrect" 0.916666666666667
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.8125
"59" "all" "all" NA "dprime" 1.81297842754839
"60" "all" "Face&Place" NA "dprime" 2.17189369615491
"61" "0-Back" "Face&Place" NA "dprime" 3.75932557091538
"62" "2-Back" "Face&Place" NA "dprime" 1.24029310429426
"63" "0-Back" "all" NA "dprime" 3.88349356622197
"64" "2-Back" "all" NA "dprime" 0.763128214321812
"65" "all" "Face" NA "dprime" 2.44571385229774
"66" "all" "Place" NA "dprime" 2.02365595753616
"67" "all" "Body" NA "dprime" 1.33731439261308
"68" "all" "Tools" NA "dprime" 1.52997000241383
"69" "0-Back" "Face" NA "dprime" 3.17106152587803
"70" "2-Back" "Face" NA "dprime" 1.58085847601027
"71" "0-Back" "Place" NA "dprime" 3.17106152587803
"72" "2-Back" "Place" NA "dprime" 1.04913139796397
"73" "0-Back" "Body" NA "dprime" 2.63325380547526
"74" "2-Back" "Body" NA "dprime" 0.299306910465667
"75" "0-Back" "Tools" NA "dprime" 3.17106152587803
"76" "2-Back" "Tools" NA "dprime" 0.29639157562434
"77" "all" "all" "all" "medianRT" 1117
"78" "all" "all" "all" "meanRT" 1093.84444444444
"79" "all" "Face&Place" "all" "medianRT" 1064
"80" "all" "Face&Place" "all" "meanRT" 1033.91428571429
"81" "0-Back" "Face&Place" "all" "medianRT" 668.5
"82" "0-Back" "Face&Place" "all" "meanRT" 841.875
"83" "2-Back" "Face&Place" "all" "medianRT" 1282
"84" "2-Back" "Face&Place" "all" "meanRT" 1289.96666666667
"85" "0-Back" "Face&Place" "target" "medianRT" 656.5
"86" "0-Back" "Face&Place" "target" "meanRT" 792.75
"87" "0-Back" "Face&Place" "lure" "medianRT" 646.5
"88" "0-Back" "Face&Place" "lure" "meanRT" 849.75
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 729.5
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 856.8
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 686
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 854.15625
"93" "2-Back" "Face&Place" "target" "medianRT" 1358
"94" "2-Back" "Face&Place" "target" "meanRT" 1272.5
"95" "2-Back" "Face&Place" "lure" "medianRT" 1461
"96" "2-Back" "Face&Place" "lure" "meanRT" 1488.33333333333
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 1264.5
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 1229.66666666667
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 1282
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1294.33333333333
"101" "all" "Face" "all" "medianRT" 1280.5
"102" "all" "Face" "all" "meanRT" 1127.20588235294
"103" "all" "Place" "all" "medianRT" 826.5
"104" "all" "Place" "all" "meanRT" 945.805555555556
"105" "all" "Body" "all" "medianRT" 1173
"106" "all" "Body" "all" "meanRT" 1154.29032258065
"107" "all" "Tools" "all" "medianRT" 1153
"108" "all" "Tools" "all" "meanRT" 1162.11764705882
"109" "0-Back" "all" "all" "medianRT" 826
"110" "0-Back" "all" "all" "meanRT" 919.645569620253
"111" "2-Back" "all" "all" "medianRT" 1333.5
"112" "2-Back" "all" "all" "meanRT" 1339.58928571429
"113" "0-Back" "Face" "all" "medianRT" 858.5
"114" "0-Back" "Face" "all" "meanRT" 960.75
"115" "2-Back" "Face" "all" "medianRT" 1393
"116" "2-Back" "Face" "all" "meanRT" 1365
"117" "0-Back" "Place" "all" "medianRT" 668.5
"118" "0-Back" "Place" "all" "meanRT" 723
"119" "2-Back" "Place" "all" "medianRT" 1225.5
"120" "2-Back" "Place" "all" "meanRT" 1224.3125
"121" "0-Back" "Body" "all" "medianRT" 1061
"122" "0-Back" "Body" "all" "meanRT" 1045.94736842105
"123" "2-Back" "Body" "all" "medianRT" 1280.5
"124" "2-Back" "Body" "all" "meanRT" 1325.83333333333
"125" "0-Back" "Tools" "all" "medianRT" 975.5
"126" "0-Back" "Tools" "all" "meanRT" 955.2
"127" "2-Back" "Tools" "all" "medianRT" 1485
"128" "2-Back" "Tools" "all" "meanRT" 1457.71428571429
"129" "0-Back" "Face" "target" "medianRT" 844.5
"130" "0-Back" "Face" "target" "meanRT" 928.75
"131" "0-Back" "Face" "lure" "medianRT" 1022
"132" "0-Back" "Face" "lure" "meanRT" 1055
"133" "0-Back" "Face" "nonlure" "medianRT" 858.5
"134" "0-Back" "Face" "nonlure" "meanRT" 917
"135" "0-Back" "Face" "nontarget" "medianRT" 858.5
"136" "0-Back" "Face" "nontarget" "meanRT" 968.75
"137" "2-Back" "Face" "target" "medianRT" 1358
"138" "2-Back" "Face" "target" "meanRT" 1274
"139" "2-Back" "Face" "lure" "medianRT" 1478.5
"140" "2-Back" "Face" "lure" "meanRT" 1509.75
"141" "2-Back" "Face" "nonlure" "medianRT" 1370.5
"142" "2-Back" "Face" "nonlure" "meanRT" 1383.8
"143" "2-Back" "Face" "nontarget" "medianRT" 1410.5
"144" "2-Back" "Face" "nontarget" "meanRT" 1419.78571428571
"145" "0-Back" "Place" "target" "medianRT" 656.5
"146" "0-Back" "Place" "target" "meanRT" 656.75
"147" "0-Back" "Place" "lure" "medianRT" 602
"148" "0-Back" "Place" "lure" "meanRT" 644.5
"149" "0-Back" "Place" "nonlure" "medianRT" 729.5
"150" "0-Back" "Place" "nonlure" "meanRT" 796.6
"151" "0-Back" "Place" "nontarget" "medianRT" 686
"152" "0-Back" "Place" "nontarget" "meanRT" 739.5625
"153" "2-Back" "Place" "target" "medianRT" 973
"154" "2-Back" "Place" "target" "meanRT" 1056.5
"155" "2-Back" "Place" "lure" "medianRT" 1352.5
"156" "2-Back" "Place" "lure" "meanRT" 1447
"157" "2-Back" "Place" "nonlure" "medianRT" 1228
"158" "2-Back" "Place" "nonlure" "meanRT" 1158.54545454545
"159" "2-Back" "Place" "nontarget" "medianRT" 1228
"160" "2-Back" "Place" "nontarget" "meanRT" 1235.46666666667
"161" "0-Back" "Body" "target" "medianRT" 1280.5
"162" "0-Back" "Body" "target" "meanRT" 1256.5
"163" "0-Back" "Body" "lure" "medianRT" 1024
"164" "0-Back" "Body" "lure" "meanRT" 996.166666666667
"165" "0-Back" "Body" "nonlure" "medianRT" 1013
"166" "0-Back" "Body" "nonlure" "meanRT" 1040.5
"167" "0-Back" "Body" "nontarget" "medianRT" 1024
"168" "0-Back" "Body" "nontarget" "meanRT" 1023.875
"169" "2-Back" "Body" "target" "medianRT" 1140
"170" "2-Back" "Body" "target" "meanRT" 1140
"171" "2-Back" "Body" "lure" "medianRT" 1196
"172" "2-Back" "Body" "lure" "meanRT" 1215.66666666667
"173" "2-Back" "Body" "nonlure" "medianRT" 1356
"174" "2-Back" "Body" "nonlure" "meanRT" 1389.18181818182
"175" "2-Back" "Body" "nontarget" "medianRT" 1344
"176" "2-Back" "Body" "nontarget" "meanRT" 1352
"177" "0-Back" "Tools" "target" "medianRT" 1059
"178" "0-Back" "Tools" "target" "meanRT" 1063.25
"179" "0-Back" "Tools" "lure" "medianRT" 734
"180" "0-Back" "Tools" "lure" "meanRT" 789.666666666667
"181" "0-Back" "Tools" "nonlure" "medianRT" 816.5
"182" "0-Back" "Tools" "nonlure" "meanRT" 1011.3
"183" "0-Back" "Tools" "nontarget" "medianRT" 816.5
"184" "0-Back" "Tools" "nontarget" "meanRT" 928.1875
"185" "2-Back" "Tools" "target" "medianRT" 1472
"186" "2-Back" "Tools" "target" "meanRT" 1455.33333333333
"187" "2-Back" "Tools" "lure" "medianRT" 1632
"188" "2-Back" "Tools" "lure" "meanRT" 1586.5
"189" "2-Back" "Tools" "nonlure" "medianRT" 1470
"190" "2-Back" "Tools" "nonlure" "meanRT" 1448.81818181818
"191" "2-Back" "Tools" "nontarget" "medianRT" 1472
"192" "2-Back" "Tools" "nontarget" "meanRT" 1485.53333333333
