"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.88125
"2" "all" "Face&Place" "all" "propcorrect" 0.9375
"3" "0-Back" "Face&Place" "all" "propcorrect" 0.95
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.925
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 0.9
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 0.9375
"9" "2-Back" "Face&Place" "target" "propcorrect" 1
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.875
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.916666666666667
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.90625
"13" "all" "Face" "all" "propcorrect" 0.925
"14" "all" "Place" "all" "propcorrect" 0.95
"15" "all" "Body" "all" "propcorrect" 0.775
"16" "all" "Tools" "all" "propcorrect" 0.875
"17" "0-Back" "all" "all" "propcorrect" 0.9
"18" "2-Back" "all" "all" "propcorrect" 0.8625
"19" "0-Back" "Face" "all" "propcorrect" 0.95
"20" "2-Back" "Face" "all" "propcorrect" 0.9
"21" "0-Back" "Place" "all" "propcorrect" 0.95
"22" "2-Back" "Place" "all" "propcorrect" 0.95
"23" "0-Back" "Body" "all" "propcorrect" 0.9
"24" "2-Back" "Body" "all" "propcorrect" 0.65
"25" "0-Back" "Tools" "all" "propcorrect" 0.8
"26" "2-Back" "Tools" "all" "propcorrect" 0.95
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 0.9
"30" "0-Back" "Face" "nontarget" "propcorrect" 0.9375
"31" "2-Back" "Face" "target" "propcorrect" 1
"32" "2-Back" "Face" "lure" "propcorrect" 0.75
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.916666666666667
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.875
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 0.9
"38" "0-Back" "Place" "nontarget" "propcorrect" 0.9375
"39" "2-Back" "Place" "target" "propcorrect" 1
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 0.916666666666667
"42" "2-Back" "Place" "nontarget" "propcorrect" 0.9375
"43" "0-Back" "Body" "target" "propcorrect" 0.75
"44" "0-Back" "Body" "lure" "propcorrect" 0.833333333333333
"45" "0-Back" "Body" "nonlure" "propcorrect" 1
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.9375
"47" "2-Back" "Body" "target" "propcorrect" 0.75
"48" "2-Back" "Body" "lure" "propcorrect" 0.75
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.583333333333333
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.625
"51" "0-Back" "Tools" "target" "propcorrect" 0.5
"52" "0-Back" "Tools" "lure" "propcorrect" 0.833333333333333
"53" "0-Back" "Tools" "nonlure" "propcorrect" 0.9
"54" "0-Back" "Tools" "nontarget" "propcorrect" 0.875
"55" "2-Back" "Tools" "target" "propcorrect" 1
"56" "2-Back" "Tools" "lure" "propcorrect" 0.75
"57" "2-Back" "Tools" "nonlure" "propcorrect" 1
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.9375
"59" "all" "all" NA "dprime" 2.27101566984858
"60" "all" "Face&Place" NA "dprime" 3.26418965452141
"61" "0-Back" "Face&Place" NA "dprime" 3.02741897770943
"62" "2-Back" "Face&Place" NA "dprime" 2.84097267337437
"63" "0-Back" "all" NA "dprime" 2.19547178252036
"64" "2-Back" "all" NA "dprime" 2.33985687217686
"65" "all" "Face" NA "dprime" 2.84097267337437
"66" "all" "Place" NA "dprime" 3.02741897770943
"67" "all" "Body" NA "dprime" 1.33731439261308
"68" "all" "Tools" NA "dprime" 1.8372096532011
"69" "0-Back" "Face" NA "dprime" 2.63325380547526
"70" "2-Back" "Face" NA "dprime" 2.33068296350857
"71" "0-Back" "Place" NA "dprime" 2.63325380547526
"72" "2-Back" "Place" NA "dprime" 2.63325380547526
"73" "0-Back" "Body" NA "dprime" 1.8761027526387
"74" "2-Back" "Body" NA "dprime" 0.823707423173708
"75" "0-Back" "Tools" NA "dprime" 1.04913139796397
"76" "2-Back" "Tools" NA "dprime" 2.63325380547526
"77" "all" "all" "all" "medianRT" 997
"78" "all" "all" "all" "meanRT" 1057.8085106383
"79" "all" "Face&Place" "all" "medianRT" 946
"80" "all" "Face&Place" "all" "meanRT" 1055.29333333333
"81" "0-Back" "Face&Place" "all" "medianRT" 808.5
"82" "0-Back" "Face&Place" "all" "meanRT" 876.263157894737
"83" "2-Back" "Face&Place" "all" "medianRT" 1273
"84" "2-Back" "Face&Place" "all" "meanRT" 1239.16216216216
"85" "0-Back" "Face&Place" "target" "medianRT" 758
"86" "0-Back" "Face&Place" "target" "meanRT" 856.375
"87" "0-Back" "Face&Place" "lure" "medianRT" 833
"88" "0-Back" "Face&Place" "lure" "meanRT" 915.916666666667
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 857.5
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 858.666666666667
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 854
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 881.566666666667
"93" "2-Back" "Face&Place" "target" "medianRT" 1207
"94" "2-Back" "Face&Place" "target" "meanRT" 1173
"95" "2-Back" "Face&Place" "lure" "medianRT" 1292
"96" "2-Back" "Face&Place" "lure" "meanRT" 1262.57142857143
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 1315.5
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 1255.77272727273
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 1292
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1257.41379310345
"101" "all" "Face" "all" "medianRT" 970
"102" "all" "Face" "all" "meanRT" 1038.2972972973
"103" "all" "Place" "all" "medianRT" 927.5
"104" "all" "Place" "all" "meanRT" 1071.84210526316
"105" "all" "Body" "all" "medianRT" 997
"106" "all" "Body" "all" "meanRT" 1046.32258064516
"107" "all" "Tools" "all" "medianRT" 1102
"108" "all" "Tools" "all" "meanRT" 1073.37142857143
"109" "0-Back" "all" "all" "medianRT" 806.5
"110" "0-Back" "all" "all" "meanRT" 899.972222222222
"111" "2-Back" "all" "all" "medianRT" 1247
"112" "2-Back" "all" "all" "meanRT" 1222.50724637681
"113" "0-Back" "Face" "all" "medianRT" 807
"114" "0-Back" "Face" "all" "meanRT" 905.052631578947
"115" "2-Back" "Face" "all" "medianRT" 1215
"116" "2-Back" "Face" "all" "meanRT" 1178.94444444444
"117" "0-Back" "Place" "all" "medianRT" 810
"118" "0-Back" "Place" "all" "meanRT" 847.473684210526
"119" "2-Back" "Place" "all" "medianRT" 1367
"120" "2-Back" "Place" "all" "meanRT" 1296.21052631579
"121" "0-Back" "Body" "all" "medianRT" 859.5
"122" "0-Back" "Body" "all" "meanRT" 936.611111111111
"123" "2-Back" "Body" "all" "medianRT" 1235
"124" "2-Back" "Body" "all" "meanRT" 1198.23076923077
"125" "0-Back" "Tools" "all" "medianRT" 775
"126" "0-Back" "Tools" "all" "meanRT" 915.0625
"127" "2-Back" "Tools" "all" "medianRT" 1225
"128" "2-Back" "Tools" "all" "meanRT" 1206.68421052632
"129" "0-Back" "Face" "target" "medianRT" 864
"130" "0-Back" "Face" "target" "meanRT" 977.25
"131" "0-Back" "Face" "lure" "medianRT" 793
"132" "0-Back" "Face" "lure" "meanRT" 909.666666666667
"133" "0-Back" "Face" "nonlure" "medianRT" 804
"134" "0-Back" "Face" "nonlure" "meanRT" 847.2
"135" "0-Back" "Face" "nontarget" "medianRT" 793
"136" "0-Back" "Face" "nontarget" "meanRT" 870.625
"137" "2-Back" "Face" "target" "medianRT" 1207
"138" "2-Back" "Face" "target" "meanRT" 1183
"139" "2-Back" "Face" "lure" "medianRT" 1232.5
"140" "2-Back" "Face" "lure" "meanRT" 1266.25
"141" "2-Back" "Face" "nonlure" "medianRT" 1232
"142" "2-Back" "Face" "nonlure" "meanRT" 1207.75
"143" "2-Back" "Face" "nontarget" "medianRT" 1232
"144" "2-Back" "Face" "nontarget" "meanRT" 1222.375
"145" "0-Back" "Place" "target" "medianRT" 748.5
"146" "0-Back" "Place" "target" "meanRT" 735.5
"147" "0-Back" "Place" "lure" "medianRT" 859
"148" "0-Back" "Place" "lure" "meanRT" 922.166666666667
"149" "0-Back" "Place" "nonlure" "medianRT" 863
"150" "0-Back" "Place" "nonlure" "meanRT" 847.444444444444
"151" "0-Back" "Place" "nontarget" "medianRT" 862
"152" "0-Back" "Place" "nontarget" "meanRT" 877.333333333333
"153" "2-Back" "Place" "target" "medianRT" 1170
"154" "2-Back" "Place" "target" "meanRT" 1163
"155" "2-Back" "Place" "lure" "medianRT" 1329.5
"156" "2-Back" "Place" "lure" "meanRT" 1246.75
"157" "2-Back" "Place" "nonlure" "medianRT" 1399
"158" "2-Back" "Place" "nonlure" "meanRT" 1362.63636363636
"159" "2-Back" "Place" "nontarget" "medianRT" 1367
"160" "2-Back" "Place" "nontarget" "meanRT" 1331.73333333333
"161" "0-Back" "Body" "target" "medianRT" 712
"162" "0-Back" "Body" "target" "meanRT" 931.666666666667
"163" "0-Back" "Body" "lure" "medianRT" 890.5
"164" "0-Back" "Body" "lure" "meanRT" 950.166666666667
"165" "0-Back" "Body" "nonlure" "medianRT" 831
"166" "0-Back" "Body" "nonlure" "meanRT" 900.1
"167" "0-Back" "Body" "nontarget" "medianRT" 859.5
"168" "0-Back" "Body" "nontarget" "meanRT" 918.875
"169" "2-Back" "Body" "target" "medianRT" 1037.5
"170" "2-Back" "Body" "target" "meanRT" 1056.5
"171" "2-Back" "Body" "lure" "medianRT" 1235
"172" "2-Back" "Body" "lure" "meanRT" 1320.66666666667
"173" "2-Back" "Body" "nonlure" "medianRT" 1288
"174" "2-Back" "Body" "nonlure" "meanRT" 1345
"175" "2-Back" "Body" "nontarget" "medianRT" 1262
"176" "2-Back" "Body" "nontarget" "meanRT" 1338.91666666667
"177" "0-Back" "Tools" "target" "medianRT" 827.5
"178" "0-Back" "Tools" "target" "meanRT" 924.5
"179" "0-Back" "Tools" "lure" "medianRT" 773.5
"180" "0-Back" "Tools" "lure" "meanRT" 923.5
"181" "0-Back" "Tools" "nonlure" "medianRT" 775
"182" "0-Back" "Tools" "nonlure" "meanRT" 885
"183" "0-Back" "Tools" "nontarget" "medianRT" 775
"184" "0-Back" "Tools" "nontarget" "meanRT" 899.4375
"185" "2-Back" "Tools" "target" "medianRT" 1205
"186" "2-Back" "Tools" "target" "meanRT" 1229.75
"187" "2-Back" "Tools" "lure" "medianRT" 1491
"188" "2-Back" "Tools" "lure" "meanRT" 1519
"189" "2-Back" "Tools" "nonlure" "medianRT" 1137.5
"190" "2-Back" "Tools" "nonlure" "meanRT" 1090.66666666667
"191" "2-Back" "Tools" "nontarget" "medianRT" 1190.5
"192" "2-Back" "Tools" "nontarget" "meanRT" 1197.75
