"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.86875
"2" "all" "Face&Place" "all" "propcorrect" 0.9125
"3" "0-Back" "Face&Place" "all" "propcorrect" 1
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.825
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 1
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.375
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.875
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.958333333333333
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.9375
"13" "all" "Face" "all" "propcorrect" 0.9
"14" "all" "Place" "all" "propcorrect" 0.925
"15" "all" "Body" "all" "propcorrect" 0.675
"16" "all" "Tools" "all" "propcorrect" 0.975
"17" "0-Back" "all" "all" "propcorrect" 0.9125
"18" "2-Back" "all" "all" "propcorrect" 0.825
"19" "0-Back" "Face" "all" "propcorrect" 1
"20" "2-Back" "Face" "all" "propcorrect" 0.8
"21" "0-Back" "Place" "all" "propcorrect" 1
"22" "2-Back" "Place" "all" "propcorrect" 0.85
"23" "0-Back" "Body" "all" "propcorrect" 0.65
"24" "2-Back" "Body" "all" "propcorrect" 0.7
"25" "0-Back" "Tools" "all" "propcorrect" 1
"26" "2-Back" "Tools" "all" "propcorrect" 0.95
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 1
"31" "2-Back" "Face" "target" "propcorrect" 0.5
"32" "2-Back" "Face" "lure" "propcorrect" 0.75
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.916666666666667
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.875
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 0.25
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 1
"42" "2-Back" "Place" "nontarget" "propcorrect" 1
"43" "0-Back" "Body" "target" "propcorrect" 0.25
"44" "0-Back" "Body" "lure" "propcorrect" 0.5
"45" "0-Back" "Body" "nonlure" "propcorrect" 0.9
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.75
"47" "2-Back" "Body" "target" "propcorrect" 0.5
"48" "2-Back" "Body" "lure" "propcorrect" 0.5
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.833333333333333
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.75
"51" "0-Back" "Tools" "target" "propcorrect" 1
"52" "0-Back" "Tools" "lure" "propcorrect" 1
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 1
"55" "2-Back" "Tools" "target" "propcorrect" 1
"56" "2-Back" "Tools" "lure" "propcorrect" 0.75
"57" "2-Back" "Tools" "nonlure" "propcorrect" 1
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.9375
"59" "all" "all" NA "dprime" 1.81881375059921
"60" "all" "Face&Place" NA "dprime" 2.2266769695312
"61" "0-Back" "Face&Place" NA "dprime" 3.75932557091538
"62" "2-Back" "Face&Place" NA "dprime" 1.15198401262387
"63" "0-Back" "all" NA "dprime" 2.30233657875848
"64" "2-Back" "all" NA "dprime" 1.34636681203276
"65" "all" "Face" NA "dprime" 2.02365595753616
"66" "all" "Place" NA "dprime" 2.44832289995484
"67" "all" "Body" NA "dprime" 0.368621159381969
"68" "all" "Tools" NA "dprime" 3.28384044760795
"69" "0-Back" "Face" NA "dprime" 3.17106152587803
"70" "2-Back" "Face" NA "dprime" 1.04913139796397
"71" "0-Back" "Place" NA "dprime" 3.17106152587803
"72" "2-Back" "Place" NA "dprime" 1.36510944762539
"73" "0-Back" "Body" NA "dprime" 0.104503704924149
"74" "2-Back" "Body" NA "dprime" 0.62890421763219
"75" "0-Back" "Tools" NA "dprime" 3.17106152587803
"76" "2-Back" "Tools" NA "dprime" 2.63325380547526
"77" "all" "all" "all" "medianRT" 748
"78" "all" "all" "all" "meanRT" 862.971223021583
"79" "all" "Face&Place" "all" "medianRT" 764
"80" "all" "Face&Place" "all" "meanRT" 891.452054794521
"81" "0-Back" "Face&Place" "all" "medianRT" 662
"82" "0-Back" "Face&Place" "all" "meanRT" 728.875
"83" "2-Back" "Face&Place" "all" "medianRT" 989
"84" "2-Back" "Face&Place" "all" "meanRT" 1088.51515151515
"85" "0-Back" "Face&Place" "target" "medianRT" 672
"86" "0-Back" "Face&Place" "target" "meanRT" 721.125
"87" "0-Back" "Face&Place" "lure" "medianRT" 644.5
"88" "0-Back" "Face&Place" "lure" "meanRT" 702.833333333333
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 671.5
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 747.6
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 659
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 730.8125
"93" "2-Back" "Face&Place" "target" "medianRT" 764
"94" "2-Back" "Face&Place" "target" "meanRT" 762
"95" "2-Back" "Face&Place" "lure" "medianRT" 1163
"96" "2-Back" "Face&Place" "lure" "meanRT" 1231.71428571429
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 989
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 1087.52173913043
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 1054.5
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1121.16666666667
"101" "all" "Face" "all" "medianRT" 787
"102" "all" "Face" "all" "meanRT" 946.222222222222
"103" "all" "Place" "all" "medianRT" 740
"104" "all" "Place" "all" "meanRT" 838.162162162162
"105" "all" "Body" "all" "medianRT" 822
"106" "all" "Body" "all" "meanRT" 930.185185185185
"107" "all" "Tools" "all" "medianRT" 699
"108" "all" "Tools" "all" "meanRT" 763.128205128205
"109" "0-Back" "all" "all" "medianRT" 661
"110" "0-Back" "all" "all" "meanRT" 715.369863013699
"111" "2-Back" "all" "all" "medianRT" 955
"112" "2-Back" "all" "all" "meanRT" 1026.22727272727
"113" "0-Back" "Face" "all" "medianRT" 672
"114" "0-Back" "Face" "all" "meanRT" 766.95
"115" "2-Back" "Face" "all" "medianRT" 1208.5
"116" "2-Back" "Face" "all" "meanRT" 1170.3125
"117" "0-Back" "Place" "all" "medianRT" 650
"118" "0-Back" "Place" "all" "meanRT" 690.8
"119" "2-Back" "Place" "all" "medianRT" 943
"120" "2-Back" "Place" "all" "meanRT" 1011.52941176471
"121" "0-Back" "Body" "all" "medianRT" 718
"122" "0-Back" "Body" "all" "meanRT" 787.615384615385
"123" "2-Back" "Body" "all" "medianRT" 1044
"124" "2-Back" "Body" "all" "meanRT" 1062.57142857143
"125" "0-Back" "Tools" "all" "medianRT" 599
"126" "0-Back" "Tools" "all" "meanRT" 641.4
"127" "2-Back" "Tools" "all" "medianRT" 756
"128" "2-Back" "Tools" "all" "meanRT" 891.263157894737
"129" "0-Back" "Face" "target" "medianRT" 672
"130" "0-Back" "Face" "target" "meanRT" 696
"131" "0-Back" "Face" "lure" "medianRT" 754
"132" "0-Back" "Face" "lure" "meanRT" 744.666666666667
"133" "0-Back" "Face" "nonlure" "medianRT" 670.5
