"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.9375
"2" "all" "Face&Place" "all" "propcorrect" 0.9625
"3" "0-Back" "Face&Place" "all" "propcorrect" 1
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.925
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 1
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.875
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.875
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.958333333333333
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.9375
"13" "all" "Face" "all" "propcorrect" 0.95
"14" "all" "Place" "all" "propcorrect" 0.975
"15" "all" "Body" "all" "propcorrect" 0.925
"16" "all" "Tools" "all" "propcorrect" 0.9
"17" "0-Back" "all" "all" "propcorrect" 1
"18" "2-Back" "all" "all" "propcorrect" 0.875
"19" "0-Back" "Face" "all" "propcorrect" 1
"20" "2-Back" "Face" "all" "propcorrect" 0.9
"21" "0-Back" "Place" "all" "propcorrect" 1
"22" "2-Back" "Place" "all" "propcorrect" 0.95
"23" "0-Back" "Body" "all" "propcorrect" 1
"24" "2-Back" "Body" "all" "propcorrect" 0.85
"25" "0-Back" "Tools" "all" "propcorrect" 1
"26" "2-Back" "Tools" "all" "propcorrect" 0.8
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 1
"31" "2-Back" "Face" "target" "propcorrect" 1
"32" "2-Back" "Face" "lure" "propcorrect" 0.75
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.916666666666667
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.875
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 0.75
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 1
"42" "2-Back" "Place" "nontarget" "propcorrect" 1
"43" "0-Back" "Body" "target" "propcorrect" 1
"44" "0-Back" "Body" "lure" "propcorrect" 1
"45" "0-Back" "Body" "nonlure" "propcorrect" 1
"46" "0-Back" "Body" "nontarget" "propcorrect" 1
"47" "2-Back" "Body" "target" "propcorrect" 0.75
"48" "2-Back" "Body" "lure" "propcorrect" 0.75
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.916666666666667
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.875
"51" "0-Back" "Tools" "target" "propcorrect" 1
"52" "0-Back" "Tools" "lure" "propcorrect" 1
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 1
"55" "2-Back" "Tools" "target" "propcorrect" 0.5
"56" "2-Back" "Tools" "lure" "propcorrect" 0.75
"57" "2-Back" "Tools" "nonlure" "propcorrect" 0.916666666666667
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.875
"59" "all" "all" NA "dprime" 2.73791062058523
"60" "all" "Face&Place" NA "dprime" 3.12052727844937
"61" "0-Back" "Face&Place" NA "dprime" 3.75932557091538
"62" "2-Back" "Face&Place" NA "dprime" 2.40162172578808
"63" "0-Back" "all" NA "dprime" 4.31270615534197
"64" "2-Back" "all" NA "dprime" 1.91045578317679
"65" "all" "Face" NA "dprime" 3.02741897770943
"66" "all" "Place" NA "dprime" 3.13352831899403
"67" "all" "Body" NA "dprime" 2.40162172578808
"68" "all" "Tools" NA "dprime" 2.02365595753616
"69" "0-Back" "Face" NA "dprime" 3.17106152587803
"70" "2-Back" "Face" NA "dprime" 2.33068296350857
"71" "0-Back" "Place" NA "dprime" 3.17106152587803
"72" "2-Back" "Place" NA "dprime" 2.41391047304147
"73" "0-Back" "Body" NA "dprime" 3.17106152587803
"74" "2-Back" "Body" NA "dprime" 1.57353191067201
"75" "0-Back" "Tools" NA "dprime" 3.17106152587803
"76" "2-Back" "Tools" NA "dprime" 1.04913139796397
"77" "all" "all" "all" "medianRT" 744
"78" "all" "all" "all" "meanRT" 799.953333333333
"79" "all" "Face&Place" "all" "medianRT" 730
"80" "all" "Face&Place" "all" "meanRT" 776.246753246753
"81" "0-Back" "Face&Place" "all" "medianRT" 662.5
"82" "0-Back" "Face&Place" "all" "meanRT" 725.775
"83" "2-Back" "Face&Place" "all" "medianRT" 778
"84" "2-Back" "Face&Place" "all" "meanRT" 830.810810810811
"85" "0-Back" "Face&Place" "target" "medianRT" 722.5
"86" "0-Back" "Face&Place" "target" "meanRT" 759.875
"87" "0-Back" "Face&Place" "lure" "medianRT" 605.5
"88" "0-Back" "Face&Place" "lure" "meanRT" 700.833333333333
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 672
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 727.1
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 647
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 717.25
"93" "2-Back" "Face&Place" "target" "medianRT" 716
"94" "2-Back" "Face&Place" "target" "meanRT" 733.714285714286
"95" "2-Back" "Face&Place" "lure" "medianRT" 808
"96" "2-Back" "Face&Place" "lure" "meanRT" 829.285714285714
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 793
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 860.826086956522
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 800
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 853.466666666667
"101" "all" "Face" "all" "medianRT" 790.5
"102" "all" "Face" "all" "meanRT" 819.184210526316
"103" "all" "Place" "all" "medianRT" 690
"104" "all" "Place" "all" "meanRT" 734.410256410256
"105" "all" "Body" "all" "medianRT" 816
"106" "all" "Body" "all" "meanRT" 908.945945945946
"107" "all" "Tools" "all" "medianRT" 690
"108" "all" "Tools" "all" "meanRT" 738.638888888889
"109" "0-Back" "all" "all" "medianRT" 678
"110" "0-Back" "all" "all" "meanRT" 730.775
"111" "2-Back" "all" "all" "medianRT" 807.5
"112" "2-Back" "all" "all" "meanRT" 879.014285714286
"113" "0-Back" "Face" "all" "medianRT" 711
"114" "0-Back" "Face" "all" "meanRT" 766.8
"115" "2-Back" "Face" "all" "medianRT" 825.5
"116" "2-Back" "Face" "all" "meanRT" 877.388888888889
"117" "0-Back" "Place" "all" "medianRT" 619
"118" "0-Back" "Place" "all" "meanRT" 684.75
"119" "2-Back" "Place" "all" "medianRT" 730
"120" "2-Back" "Place" "all" "meanRT" 786.684210526316
"121" "0-Back" "Body" "all" "medianRT" 762
"122" "0-Back" "Body" "all" "meanRT" 778.45
"123" "2-Back" "Body" "all" "medianRT" 997
