"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.70625
"2" "all" "Face&Place" "all" "propcorrect" 0.75
"3" "0-Back" "Face&Place" "all" "propcorrect" 0.775
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.725
"5" "0-Back" "Face&Place" "target" "propcorrect" 0.625
"6" "0-Back" "Face&Place" "lure" "propcorrect" 0.583333333333333
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 0.95
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 0.8125
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.625
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.625
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.791666666666667
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.75
"13" "all" "Face" "all" "propcorrect" 0.775
"14" "all" "Place" "all" "propcorrect" 0.725
"15" "all" "Body" "all" "propcorrect" 0.65
"16" "all" "Tools" "all" "propcorrect" 0.675
"17" "0-Back" "all" "all" "propcorrect" 0.7125
"18" "2-Back" "all" "all" "propcorrect" 0.7
"19" "0-Back" "Face" "all" "propcorrect" 0.7
"20" "2-Back" "Face" "all" "propcorrect" 0.85
"21" "0-Back" "Place" "all" "propcorrect" 0.85
"22" "2-Back" "Place" "all" "propcorrect" 0.6
"23" "0-Back" "Body" "all" "propcorrect" 0.65
"24" "2-Back" "Body" "all" "propcorrect" 0.65
"25" "0-Back" "Tools" "all" "propcorrect" 0.65
"26" "2-Back" "Tools" "all" "propcorrect" 0.7
"27" "0-Back" "Face" "target" "propcorrect" 0.5
"28" "0-Back" "Face" "lure" "propcorrect" 0.333333333333333
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 0.75
"31" "2-Back" "Face" "target" "propcorrect" 0.75
"32" "2-Back" "Face" "lure" "propcorrect" 0.75
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.916666666666667
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.875
"35" "0-Back" "Place" "target" "propcorrect" 0.75
"36" "0-Back" "Place" "lure" "propcorrect" 0.833333333333333
"37" "0-Back" "Place" "nonlure" "propcorrect" 0.9
"38" "0-Back" "Place" "nontarget" "propcorrect" 0.875
"39" "2-Back" "Place" "target" "propcorrect" 0.5
"40" "2-Back" "Place" "lure" "propcorrect" 0.5
"41" "2-Back" "Place" "nonlure" "propcorrect" 0.666666666666667
"42" "2-Back" "Place" "nontarget" "propcorrect" 0.625
"43" "0-Back" "Body" "target" "propcorrect" 0
"44" "0-Back" "Body" "lure" "propcorrect" 0.666666666666667
"45" "0-Back" "Body" "nonlure" "propcorrect" 0.9
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.8125
"47" "2-Back" "Body" "target" "propcorrect" 0.5
"48" "2-Back" "Body" "lure" "propcorrect" 0.25
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.833333333333333
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.6875
"51" "0-Back" "Tools" "target" "propcorrect" 0.25
"52" "0-Back" "Tools" "lure" "propcorrect" 0.333333333333333
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 0.75
"55" "2-Back" "Tools" "target" "propcorrect" 0.25
"56" "2-Back" "Tools" "lure" "propcorrect" 0.5
"57" "2-Back" "Tools" "nonlure" "propcorrect" 0.916666666666667
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.8125
"59" "all" "all" NA "dprime" 0.590687851200277
"60" "all" "Face&Place" NA "dprime" 1.06114968735176
"61" "0-Back" "Face&Place" NA "dprime" 1.1347111813372
"62" "2-Back" "Face&Place" NA "dprime" 0.933053453506985
"63" "0-Back" "all" NA "dprime" 0.515147611328116
"64" "2-Back" "all" NA "dprime" 0.662435267566519
"65" "all" "Face" NA "dprime" 1.1347111813372
"66" "all" "Place" NA "dprime" 0.933053453506985
"67" "all" "Body" NA "dprime" 0.0613815085946986
"68" "all" "Tools" NA "dprime" 0.158402796913524
"69" "0-Back" "Face" NA "dprime" 0.62890421763219
"70" "2-Back" "Face" NA "dprime" 1.57353191067201
"71" "0-Back" "Place" NA "dprime" 1.57353191067201
"72" "2-Back" "Place" NA "dprime" 0.299306910465667
"73" "0-Back" "Body" NA "dprime" -0.46075947721222
"74" "2-Back" "Body" NA "dprime" 0.457851931012495
"75" "0-Back" "Tools" NA "dprime" 0.104503704924149
"76" "2-Back" "Tools" NA "dprime" 0.29639157562434
"77" "all" "all" "all" "medianRT" 1159
"78" "all" "all" "all" "meanRT" 1202.82300884956
"79" "all" "Face&Place" "all" "medianRT" 1035.5
"80" "all" "Face&Place" "all" "meanRT" 1088.4
"81" "0-Back" "Face&Place" "all" "medianRT" 1002
"82" "0-Back" "Face&Place" "all" "meanRT" 1039.12903225806
"83" "2-Back" "Face&Place" "all" "medianRT" 1154
"84" "2-Back" "Face&Place" "all" "meanRT" 1141.06896551724
"85" "0-Back" "Face&Place" "target" "medianRT" 895
"86" "0-Back" "Face&Place" "target" "meanRT" 1072.8
"87" "0-Back" "Face&Place" "lure" "medianRT" 1164
"88" "0-Back" "Face&Place" "lure" "meanRT" 1164.71428571429
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 989
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 984
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 1011.5
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 1032.65384615385
"93" "2-Back" "Face&Place" "target" "medianRT" 669
"94" "2-Back" "Face&Place" "target" "meanRT" 810.2
"95" "2-Back" "Face&Place" "lure" "medianRT" 1471
"96" "2-Back" "Face&Place" "lure" "meanRT" 1442.4
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 1046
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 1148.84210526316
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 1283.5
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1210
"101" "all" "Face" "all" "medianRT" 989
"102" "all" "Face" "all" "meanRT" 1059.51612903226
"103" "all" "Place" "all" "medianRT" 1152
"104" "all" "Place" "all" "meanRT" 1119.27586206897
"105" "all" "Body" "all" "medianRT" 1365
