"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.86875
"2" "all" "Face&Place" "all" "propcorrect" 0.9375
"3" "0-Back" "Face&Place" "all" "propcorrect" 0.95
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.925
"5" "0-Back" "Face&Place" "target" "propcorrect" 0.75
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 1
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.625
"10" "2-Back" "Face&Place" "lure" "propcorrect" 1
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 1
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 1
"13" "all" "Face" "all" "propcorrect" 0.975
"14" "all" "Place" "all" "propcorrect" 0.9
"15" "all" "Body" "all" "propcorrect" 0.925
"16" "all" "Tools" "all" "propcorrect" 0.675
"17" "0-Back" "all" "all" "propcorrect" 0.875
"18" "2-Back" "all" "all" "propcorrect" 0.8625
"19" "0-Back" "Face" "all" "propcorrect" 1
"20" "2-Back" "Face" "all" "propcorrect" 0.95
"21" "0-Back" "Place" "all" "propcorrect" 0.9
"22" "2-Back" "Place" "all" "propcorrect" 0.9
"23" "0-Back" "Body" "all" "propcorrect" 1
"24" "2-Back" "Body" "all" "propcorrect" 0.85
"25" "0-Back" "Tools" "all" "propcorrect" 0.6
"26" "2-Back" "Tools" "all" "propcorrect" 0.75
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 1
"31" "2-Back" "Face" "target" "propcorrect" 0.75
"32" "2-Back" "Face" "lure" "propcorrect" 1
"33" "2-Back" "Face" "nonlure" "propcorrect" 1
"34" "2-Back" "Face" "nontarget" "propcorrect" 1
"35" "0-Back" "Place" "target" "propcorrect" 0.5
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 0.5
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 1
"42" "2-Back" "Place" "nontarget" "propcorrect" 1
"43" "0-Back" "Body" "target" "propcorrect" 1
"44" "0-Back" "Body" "lure" "propcorrect" 1
"45" "0-Back" "Body" "nonlure" "propcorrect" 1
"46" "0-Back" "Body" "nontarget" "propcorrect" 1
"47" "2-Back" "Body" "target" "propcorrect" 0.25
"48" "2-Back" "Body" "lure" "propcorrect" 1
"49" "2-Back" "Body" "nonlure" "propcorrect" 1
"50" "2-Back" "Body" "nontarget" "propcorrect" 1
"51" "0-Back" "Tools" "target" "propcorrect" 0
"52" "0-Back" "Tools" "lure" "propcorrect" 0.833333333333333
"53" "0-Back" "Tools" "nonlure" "propcorrect" 0.7
"54" "0-Back" "Tools" "nontarget" "propcorrect" 0.75
"55" "2-Back" "Tools" "target" "propcorrect" 0
"56" "2-Back" "Tools" "lure" "propcorrect" 0.75
"57" "2-Back" "Tools" "nonlure" "propcorrect" 1
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.9375
"59" "all" "all" NA "dprime" 1.72088707274598
"60" "all" "Face&Place" NA "dprime" 2.88104812602104
"61" "0-Back" "Face&Place" NA "dprime" 2.75556255074211
"62" "2-Back" "Face&Place" NA "dprime" 2.44832289995484
"63" "0-Back" "all" NA "dprime" 1.78085140089177
"64" "2-Back" "all" NA "dprime" 1.69467669542288
"65" "all" "Face" NA "dprime" 3.13352831899403
"66" "all" "Place" NA "dprime" 2.16610675289233
"67" "all" "Body" NA "dprime" 2.44832289995484
"68" "all" "Tools" NA "dprime" -0.625797251921349
"69" "0-Back" "Face" NA "dprime" 3.17106152587803
"70" "2-Back" "Face" NA "dprime" 2.41391047304147
"71" "0-Back" "Place" NA "dprime" 1.88950996033343
"72" "2-Back" "Place" NA "dprime" 1.88950996033343
"73" "0-Back" "Body" NA "dprime" 3.17106152587803
"74" "2-Back" "Body" NA "dprime" 1.36510944762539
"75" "0-Back" "Tools" NA "dprime" -0.652647347912411
"76" "2-Back" "Tools" NA "dprime" 0.0701506743860605
"77" "all" "all" "all" "medianRT" 816
"78" "all" "all" "all" "meanRT" 878.978417266187
"79" "all" "Face&Place" "all" "medianRT" 814
"80" "all" "Face&Place" "all" "meanRT" 896.026666666667
"81" "0-Back" "Face&Place" "all" "medianRT" 690.5
"82" "0-Back" "Face&Place" "all" "meanRT" 766.342105263158
"83" "2-Back" "Face&Place" "all" "medianRT" 948
"84" "2-Back" "Face&Place" "all" "meanRT" 1029.21621621622
"85" "0-Back" "Face&Place" "target" "medianRT" 767
"86" "0-Back" "Face&Place" "target" "meanRT" 749.5
"87" "0-Back" "Face&Place" "lure" "medianRT" 647.5
"88" "0-Back" "Face&Place" "lure" "meanRT" 782.833333333333
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 682
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 761.5
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 670.5
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 769.5
"93" "2-Back" "Face&Place" "target" "medianRT" 842
"94" "2-Back" "Face&Place" "target" "meanRT" 1003.2
"95" "2-Back" "Face&Place" "lure" "medianRT" 1169
"96" "2-Back" "Face&Place" "lure" "meanRT" 1221.5
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 938
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 970.541666666667
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 1008
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1033.28125
"101" "all" "Face" "all" "medianRT" 783
"102" "all" "Face" "all" "meanRT" 845.666666666667
"103" "all" "Place" "all" "medianRT" 844
"104" "all" "Place" "all" "meanRT" 950.583333333333
"105" "all" "Body" "all" "medianRT" 816
"106" "all" "Body" "all" "meanRT" 876.837837837838
"107" "all" "Tools" "all" "medianRT" 826
"108" "all" "Tools" "all" "meanRT" 834.555555555556
"109" "0-Back" "all" "all" "medianRT" 720
"110" "0-Back" "all" "all" "meanRT" 771.628571428571
"111" "2-Back" "all" "all" "medianRT" 928
"112" "2-Back" "all" "all" "meanRT" 987.884057971014
"113" "0-Back" "Face" "all" "medianRT" 682
"114" "0-Back" "Face" "all" "meanRT" 750.2
"115" "2-Back" "Face" "all" "medianRT" 907
"116" "2-Back" "Face" "all" "meanRT" 946.157894736842
"117" "0-Back" "Place" "all" "medianRT" 705.5
"118" "0-Back" "Place" "all" "meanRT" 784.277777777778
"119" "2-Back" "Place" "all" "medianRT" 1008
"120" "2-Back" "Place" "all" "meanRT" 1116.88888888889
"121" "0-Back" "Body" "all" "medianRT" 746
"122" "0-Back" "Body" "all" "meanRT" 790.8
"123" "2-Back" "Body" "all" "medianRT" 995
"124" "2-Back" "Body" "all" "meanRT" 978.058823529412
"125" "0-Back" "Tools" "all" "medianRT" 756.5
"126" "0-Back" "Tools" "all" "meanRT" 756.416666666667
"127" "2-Back" "Tools" "all" "medianRT" 843
"128" "2-Back" "Tools" "all" "meanRT" 897.066666666667
"129" "0-Back" "Face" "target" "medianRT" 783
"130" "0-Back" "Face" "target" "meanRT" 758.75
"131" "0-Back" "Face" "lure" "medianRT" 647.5
"132" "0-Back" "Face" "lure" "meanRT" 695.666666666667
"133" "0-Back" "Face" "nonlure" "medianRT" 682
"134" "0-Back" "Face" "nonlure" "meanRT" 779.5
"135" "0-Back" "Face" "nontarget" "medianRT" 670.5
"136" "0-Back" "Face" "nontarget" "meanRT" 748.0625
"137" "2-Back" "Face" "target" "medianRT" 824.5
"138" "2-Back" "Face" "target" "meanRT" 834.75
"139" "2-Back" "Face" "lure" "medianRT" 1169
"140" "2-Back" "Face" "lure" "meanRT" 1110.75
"141" "2-Back" "Face" "nonlure" "medianRT" 908
"142" "2-Back" "Face" "nonlure" "meanRT" 916.833333333333
