"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.80625
"2" "all" "Face&Place" "all" "propcorrect" 0.8375
"3" "0-Back" "Face&Place" "all" "propcorrect" 0.85
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.825
"5" "0-Back" "Face&Place" "target" "propcorrect" 0.75
"6" "0-Back" "Face&Place" "lure" "propcorrect" 0.833333333333333
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 0.9
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 0.875
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.25
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.875
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 1
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.96875
"13" "all" "Face" "all" "propcorrect" 0.85
"14" "all" "Place" "all" "propcorrect" 0.825
"15" "all" "Body" "all" "propcorrect" 0.75
"16" "all" "Tools" "all" "propcorrect" 0.8
"17" "0-Back" "all" "all" "propcorrect" 0.85
"18" "2-Back" "all" "all" "propcorrect" 0.7625
"19" "0-Back" "Face" "all" "propcorrect" 0.8
"20" "2-Back" "Face" "all" "propcorrect" 0.9
"21" "0-Back" "Place" "all" "propcorrect" 0.9
"22" "2-Back" "Place" "all" "propcorrect" 0.75
"23" "0-Back" "Body" "all" "propcorrect" 0.8
"24" "2-Back" "Body" "all" "propcorrect" 0.7
"25" "0-Back" "Tools" "all" "propcorrect" 0.9
"26" "2-Back" "Tools" "all" "propcorrect" 0.7
"27" "0-Back" "Face" "target" "propcorrect" 0.5
"28" "0-Back" "Face" "lure" "propcorrect" 0.833333333333333
"29" "0-Back" "Face" "nonlure" "propcorrect" 0.9
"30" "0-Back" "Face" "nontarget" "propcorrect" 0.875
"31" "2-Back" "Face" "target" "propcorrect" 0.5
"32" "2-Back" "Face" "lure" "propcorrect" 1
"33" "2-Back" "Face" "nonlure" "propcorrect" 1
"34" "2-Back" "Face" "nontarget" "propcorrect" 1
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 0.833333333333333
"37" "0-Back" "Place" "nonlure" "propcorrect" 0.9
"38" "0-Back" "Place" "nontarget" "propcorrect" 0.875
"39" "2-Back" "Place" "target" "propcorrect" 0
"40" "2-Back" "Place" "lure" "propcorrect" 0.75
"41" "2-Back" "Place" "nonlure" "propcorrect" 1
"42" "2-Back" "Place" "nontarget" "propcorrect" 0.9375
"43" "0-Back" "Body" "target" "propcorrect" 0.75
"44" "0-Back" "Body" "lure" "propcorrect" 0.833333333333333
"45" "0-Back" "Body" "nonlure" "propcorrect" 0.8
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.8125
"47" "2-Back" "Body" "target" "propcorrect" 0.5
"48" "2-Back" "Body" "lure" "propcorrect" 0.75
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.75
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.75
"51" "0-Back" "Tools" "target" "propcorrect" 0.75
"52" "0-Back" "Tools" "lure" "propcorrect" 0.833333333333333
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 0.9375
"55" "2-Back" "Tools" "target" "propcorrect" 0
"56" "2-Back" "Tools" "lure" "propcorrect" 0.5
"57" "2-Back" "Tools" "nonlure" "propcorrect" 1
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.875
"59" "all" "all" NA "dprime" 1.17421210775507
"60" "all" "Face&Place" NA "dprime" 1.37467969418798
"61" "0-Back" "Face&Place" NA "dprime" 1.68625935994329
"62" "2-Back" "Face&Place" NA "dprime" 1.10116583173512
"63" "0-Back" "all" NA "dprime" 1.75166651582313
"64" "2-Back" "all" NA "dprime" 0.569475484674734
"65" "all" "Face" NA "dprime" 1.43420015968638
"66" "all" "Place" NA "dprime" 1.24775385535132
"67" "all" "Body" NA "dprime" 1.03007474182581
"68" "all" "Tools" NA "dprime" 0.965537708288816
"69" "0-Back" "Face" NA "dprime" 1.04913139796397
"70" "2-Back" "Face" NA "dprime" 1.88950996033343
"71" "0-Back" "Place" NA "dprime" 2.33068296350857
"72" "2-Back" "Place" NA "dprime" 0.0701506743860605
"73" "0-Back" "Body" NA "dprime" 1.34519260104042
"74" "2-Back" "Body" NA "dprime" 0.62890421763219
"75" "0-Back" "Tools" NA "dprime" 1.8761027526387
"76" "2-Back" "Tools" NA "dprime" -0.23242016758063
"77" "all" "all" "all" "medianRT" 854
"78" "all" "all" "all" "meanRT" 989.643410852713
"79" "all" "Face&Place" "all" "medianRT" 845
"80" "all" "Face&Place" "all" "meanRT" 983.746268656716
"81" "0-Back" "Face&Place" "all" "medianRT" 1039.5
"82" "0-Back" "Face&Place" "all" "meanRT" 1040.94117647059
"83" "2-Back" "Face&Place" "all" "medianRT" 784
"84" "2-Back" "Face&Place" "all" "meanRT" 924.818181818182
"85" "0-Back" "Face&Place" "target" "medianRT" 854.5
"86" "0-Back" "Face&Place" "target" "meanRT" 950.166666666667
"87" "0-Back" "Face&Place" "lure" "medianRT" 1055.5
"88" "0-Back" "Face&Place" "lure" "meanRT" 984.2
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 1065
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 1102.72222222222
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 1065
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 1060.39285714286
"93" "2-Back" "Face&Place" "target" "medianRT" 932.5
"94" "2-Back" "Face&Place" "target" "meanRT" 932.5
"95" "2-Back" "Face&Place" "lure" "medianRT" 687
"96" "2-Back" "Face&Place" "lure" "meanRT" 704.571428571429
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 819
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 988.416666666667
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 784
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 924.322580645161
"101" "all" "Face" "all" "medianRT" 836
"102" "all" "Face" "all" "meanRT" 955.176470588235
"103" "all" "Place" "all" "medianRT" 864
"104" "all" "Place" "all" "meanRT" 1013.18181818182
"105" "all" "Body" "all" "medianRT" 1090.5
"106" "all" "Body" "all" "meanRT" 1080.13333333333
"107" "all" "Tools" "all" "medianRT" 784.5
"108" "all" "Tools" "all" "meanRT" 917.15625
"109" "0-Back" "all" "all" "medianRT" 888.5
"110" "0-Back" "all" "all" "meanRT" 1008.39705882353
"111" "2-Back" "all" "all" "medianRT" 838
"112" "2-Back" "all" "all" "meanRT" 968.737704918033
"113" "0-Back" "Face" "all" "medianRT" 1102.5
"114" "0-Back" "Face" "all" "meanRT" 1044
"115" "2-Back" "Face" "all" "medianRT" 760.5
"116" "2-Back" "Face" "all" "meanRT" 876.222222222222
"117" "0-Back" "Place" "all" "medianRT" 943
"118" "0-Back" "Place" "all" "meanRT" 1038.22222222222
"119" "2-Back" "Place" "all" "medianRT" 798
"120" "2-Back" "Place" "all" "meanRT" 983.133333333333
"121" "0-Back" "Body" "all" "medianRT" 885
"122" "0-Back" "Body" "all" "meanRT" 996.5
"123" "2-Back" "Body" "all" "medianRT" 1198
"124" "2-Back" "Body" "all" "meanRT" 1175.71428571429
"125" "0-Back" "Tools" "all" "medianRT" 784.5
"126" "0-Back" "Tools" "all" "meanRT" 957.5
"127" "2-Back" "Tools" "all" "medianRT" 781
"128" "2-Back" "Tools" "all" "meanRT" 865.285714285714
"129" "0-Back" "Face" "target" "medianRT" 1244.5
"130" "0-Back" "Face" "target" "meanRT" 1255
"131" "0-Back" "Face" "lure" "medianRT" 1089
"132" "0-Back" "Face" "lure" "meanRT" 912.8
"133" "0-Back" "Face" "nonlure" "medianRT" 1045.5
"134" "0-Back" "Face" "nonlure" "meanRT" 1033.9
"135" "0-Back" "Face" "nontarget" "medianRT" 1089
"136" "0-Back" "Face" "nontarget" "meanRT" 993.533333333333
"137" "2-Back" "Face" "target" "medianRT" 757
"138" "2-Back" "Face" "target" "meanRT" 841
"139" "2-Back" "Face" "lure" "medianRT" 652
"140" "2-Back" "Face" "lure" "meanRT" 706.25
"141" "2-Back" "Face" "nonlure" "medianRT" 788
"142" "2-Back" "Face" "nonlure" "meanRT" 923.5
"143" "2-Back" "Face" "nontarget" "medianRT" 760.5
"144" "2-Back" "Face" "nontarget" "meanRT" 869.1875
"145" "0-Back" "Place" "target" "medianRT" 854.5
"146" "0-Back" "Place" "target" "meanRT" 912.5
"147" "0-Back" "Place" "lure" "medianRT" 1022
"148" "0-Back" "Place" "lure" "meanRT" 1055.6
"149" "0-Back" "Place" "nonlure" "medianRT" 1057
"150" "0-Back" "Place" "nonlure" "meanRT" 1084.44444444444
"151" "0-Back" "Place" "nontarget" "medianRT" 1039.5
"152" "0-Back" "Place" "nontarget" "meanRT" 1074.14285714286
"153" "2-Back" "Place" "target" "medianRT" 836.5
"154" "2-Back" "Place" "target" "meanRT" 828.75
"155" "2-Back" "Place" "lure" "medianRT" 735.5
"156" "2-Back" "Place" "lure" "meanRT" 960
"157" "2-Back" "Place" "nonlure" "medianRT" 926.5
"158" "2-Back" "Place" "nonlure" "meanRT" 1053.33333333333
"159" "2-Back" "Place" "nontarget" "medianRT" 854
"160" "2-Back" "Place" "nontarget" "meanRT" 1030
"161" "0-Back" "Body" "target" "medianRT" 822
"162" "0-Back" "Body" "target" "meanRT" 846.666666666667
"163" "0-Back" "Body" "lure" "medianRT" 1096
"164" "0-Back" "Body" "lure" "meanRT" 974.4
"165" "0-Back" "Body" "nonlure" "medianRT" 811
"166" "0-Back" "Body" "nonlure" "meanRT" 1017.88888888889
"167" "0-Back" "Body" "nontarget" "medianRT" 953.5
"168" "0-Back" "Body" "nontarget" "meanRT" 1002.35714285714
"169" "2-Back" "Body" "target" "medianRT" 1066.5
"170" "2-Back" "Body" "target" "meanRT" 1074
"171" "2-Back" "Body" "lure" "medianRT" 1002.5
"172" "2-Back" "Body" "lure" "meanRT" 1010.5
"173" "2-Back" "Body" "nonlure" "medianRT" 1198
"174" "2-Back" "Body" "nonlure" "meanRT" 1172.5
"175" "2-Back" "Body" "nontarget" "medianRT" 1110.5
"176" "2-Back" "Body" "nontarget" "meanRT" 1126.21428571429
"177" "0-Back" "Tools" "target" "medianRT" 990.5
"178" "0-Back" "Tools" "target" "meanRT" 1008.5
"179" "0-Back" "Tools" "lure" "medianRT" 622
"180" "0-Back" "Tools" "lure" "meanRT" 686.4
"181" "0-Back" "Tools" "nonlure" "medianRT" 820
"182" "0-Back" "Tools" "nonlure" "meanRT" 995.2
"183" "0-Back" "Tools" "nontarget" "medianRT" 783
"184" "0-Back" "Tools" "nontarget" "meanRT" 892.266666666667
"185" "2-Back" "Tools" "target" "medianRT" 810
"186" "2-Back" "Tools" "target" "meanRT" 869.25
"187" "2-Back" "Tools" "lure" "medianRT" 691
"188" "2-Back" "Tools" "lure" "meanRT" 747
"189" "2-Back" "Tools" "nonlure" "medianRT" 781
"190" "2-Back" "Tools" "nonlure" "meanRT" 873.416666666667
"191" "2-Back" "Tools" "nontarget" "medianRT" 755
"192" "2-Back" "Tools" "nontarget" "meanRT" 841.8125
