"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.875
"2" "all" "Face&Place" "all" "propcorrect" 0.9625
"3" "0-Back" "Face&Place" "all" "propcorrect" 1
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.925
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 1
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.875
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.875
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.958333333333333
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.9375
"13" "all" "Face" "all" "propcorrect" 0.95
"14" "all" "Place" "all" "propcorrect" 0.975
"15" "all" "Body" "all" "propcorrect" 0.775
"16" "all" "Tools" "all" "propcorrect" 0.8
"17" "0-Back" "all" "all" "propcorrect" 0.9375
"18" "2-Back" "all" "all" "propcorrect" 0.8125
"19" "0-Back" "Face" "all" "propcorrect" 1
"20" "2-Back" "Face" "all" "propcorrect" 0.9
"21" "0-Back" "Place" "all" "propcorrect" 1
"22" "2-Back" "Place" "all" "propcorrect" 0.95
"23" "0-Back" "Body" "all" "propcorrect" 0.9
"24" "2-Back" "Body" "all" "propcorrect" 0.65
"25" "0-Back" "Tools" "all" "propcorrect" 0.85
"26" "2-Back" "Tools" "all" "propcorrect" 0.75
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 1
"31" "2-Back" "Face" "target" "propcorrect" 1
"32" "2-Back" "Face" "lure" "propcorrect" 0.75
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.916666666666667
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.875
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 0.75
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 1
"42" "2-Back" "Place" "nontarget" "propcorrect" 1
"43" "0-Back" "Body" "target" "propcorrect" 0.75
"44" "0-Back" "Body" "lure" "propcorrect" 1
"45" "0-Back" "Body" "nonlure" "propcorrect" 0.9
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.9375
"47" "2-Back" "Body" "target" "propcorrect" 0.5
"48" "2-Back" "Body" "lure" "propcorrect" 0.25
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.833333333333333
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.6875
"51" "0-Back" "Tools" "target" "propcorrect" 0.75
"52" "0-Back" "Tools" "lure" "propcorrect" 0.666666666666667
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 0.875
"55" "2-Back" "Tools" "target" "propcorrect" 0.75
"56" "2-Back" "Tools" "lure" "propcorrect" 0.25
"57" "2-Back" "Tools" "nonlure" "propcorrect" 0.916666666666667
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.75
"59" "all" "all" NA "dprime" 2.06634191201669
"60" "all" "Face&Place" NA "dprime" 3.12052727844937
"61" "0-Back" "Face&Place" NA "dprime" 3.75932557091538
"62" "2-Back" "Face&Place" NA "dprime" 2.40162172578808
"63" "0-Back" "all" NA "dprime" 2.65778408051546
"64" "2-Back" "all" NA "dprime" 1.55605904309547
"65" "all" "Face" NA "dprime" 3.02741897770943
"66" "all" "Place" NA "dprime" 3.13352831899403
"67" "all" "Body" NA "dprime" 1.1347111813372
"68" "all" "Tools" NA "dprime" 1.44195083212447
"69" "0-Back" "Face" NA "dprime" 3.17106152587803
"70" "2-Back" "Face" NA "dprime" 2.33068296350857
"71" "0-Back" "Place" NA "dprime" 3.17106152587803
"72" "2-Back" "Place" NA "dprime" 2.41391047304147
"73" "0-Back" "Body" NA "dprime" 1.8761027526387
"74" "2-Back" "Body" NA "dprime" 0.457851931012495
"75" "0-Back" "Tools" NA "dprime" 1.57353191067201
"76" "2-Back" "Tools" NA "dprime" 1.15330473034023
"77" "all" "all" "all" "medianRT" 752
"78" "all" "all" "all" "meanRT" 852.742857142857
"79" "all" "Face&Place" "all" "medianRT" 718
"80" "all" "Face&Place" "all" "meanRT" 789.909090909091
"81" "0-Back" "Face&Place" "all" "medianRT" 605
"82" "0-Back" "Face&Place" "all" "meanRT" 649.775
"83" "2-Back" "Face&Place" "all" "medianRT" 827
"84" "2-Back" "Face&Place" "all" "meanRT" 941.405405405405
"85" "0-Back" "Face&Place" "target" "medianRT" 561
"86" "0-Back" "Face&Place" "target" "meanRT" 578.25
"87" "0-Back" "Face&Place" "lure" "medianRT" 565.5
"88" "0-Back" "Face&Place" "lure" "meanRT" 638.333333333333
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 680
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 685.25
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 622
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 667.65625
"93" "2-Back" "Face&Place" "target" "medianRT" 847
"94" "2-Back" "Face&Place" "target" "meanRT" 887.714285714286
"95" "2-Back" "Face&Place" "lure" "medianRT" 970
"96" "2-Back" "Face&Place" "lure" "meanRT" 985.571428571429
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 794
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 944.304347826087
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 807
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 953.933333333333
"101" "all" "Face" "all" "medianRT" 707
"102" "all" "Face" "all" "meanRT" 738.078947368421
"103" "all" "Place" "all" "medianRT" 746
"104" "all" "Place" "all" "meanRT" 840.410256410256
"105" "all" "Body" "all" "medianRT" 830
"106" "all" "Body" "all" "meanRT" 1017.96774193548
"107" "all" "Tools" "all" "medianRT" 780.5
"108" "all" "Tools" "all" "meanRT" 843.875
"109" "0-Back" "all" "all" "medianRT" 664
"110" "0-Back" "all" "all" "meanRT" 733.44
"111" "2-Back" "all" "all" "medianRT" 865
"112" "2-Back" "all" "all" "meanRT" 990.4
"113" "0-Back" "Face" "all" "medianRT" 593.5
"114" "0-Back" "Face" "all" "meanRT" 628.4
"115" "2-Back" "Face" "all" "medianRT" 799
"116" "2-Back" "Face" "all" "meanRT" 859.944444444444
"117" "0-Back" "Place" "all" "medianRT" 605
"118" "0-Back" "Place" "all" "meanRT" 671.15
"119" "2-Back" "Place" "all" "medianRT" 946
"120" "2-Back" "Place" "all" "meanRT" 1018.57894736842
"121" "0-Back" "Body" "all" "medianRT" 769.5
"122" "0-Back" "Body" "all" "meanRT" 829.111111111111
"123" "2-Back" "Body" "all" "medianRT" 1345
"124" "2-Back" "Body" "all" "meanRT" 1279.46153846154
"125" "0-Back" "Tools" "all" "medianRT" 706
"126" "0-Back" "Tools" "all" "meanRT" 829
"127" "2-Back" "Tools" "all" "medianRT" 859
"128" "2-Back" "Tools" "all" "meanRT" 860.733333333333
"129" "0-Back" "Face" "target" "medianRT" 542
"130" "0-Back" "Face" "target" "meanRT" 542.5
"131" "0-Back" "Face" "lure" "medianRT" 513.5
"132" "0-Back" "Face" "lure" "meanRT" 609.5
"133" "0-Back" "Face" "nonlure" "medianRT" 700
"134" "0-Back" "Face" "nonlure" "meanRT" 674.1
"135" "0-Back" "Face" "nontarget" "medianRT" 649
"136" "0-Back" "Face" "nontarget" "meanRT" 649.875
"137" "2-Back" "Face" "target" "medianRT" 844.5
"138" "2-Back" "Face" "target" "meanRT" 890.5
"139" "2-Back" "Face" "lure" "medianRT" 777
"140" "2-Back" "Face" "lure" "meanRT" 797
"141" "2-Back" "Face" "nonlure" "medianRT" 730
"142" "2-Back" "Face" "nonlure" "meanRT" 831.166666666667
"143" "2-Back" "Face" "nontarget" "medianRT" 742
"144" "2-Back" "Face" "nontarget" "meanRT" 824.333333333333
"145" "0-Back" "Place" "target" "medianRT" 641
"146" "0-Back" "Place" "target" "meanRT" 614
"147" "0-Back" "Place" "lure" "medianRT" 605
"148" "0-Back" "Place" "lure" "meanRT" 667.166666666667
"149" "0-Back" "Place" "nonlure" "medianRT" 608.5
"150" "0-Back" "Place" "nonlure" "meanRT" 696.4
"151" "0-Back" "Place" "nontarget" "medianRT" 605
"152" "0-Back" "Place" "nontarget" "meanRT" 685.4375
"153" "2-Back" "Place" "target" "medianRT" 938.5
"154" "2-Back" "Place" "target" "meanRT" 920.5
"155" "2-Back" "Place" "lure" "medianRT" 1131.5
"156" "2-Back" "Place" "lure" "meanRT" 1127
"157" "2-Back" "Place" "nonlure" "medianRT" 883
"158" "2-Back" "Place" "nonlure" "meanRT" 1016.08333333333
"159" "2-Back" "Place" "nontarget" "medianRT" 958
"160" "2-Back" "Place" "nontarget" "meanRT" 1043.8125
"161" "0-Back" "Body" "target" "medianRT" 789
"162" "0-Back" "Body" "target" "meanRT" 797.666666666667
"163" "0-Back" "Body" "lure" "medianRT" 768
"164" "0-Back" "Body" "lure" "meanRT" 892.166666666667
"165" "0-Back" "Body" "nonlure" "medianRT" 750
"166" "0-Back" "Body" "nonlure" "meanRT" 797.555555555556
"167" "0-Back" "Body" "nontarget" "medianRT" 750
"168" "0-Back" "Body" "nontarget" "meanRT" 835.4
"169" "2-Back" "Body" "target" "medianRT" 1192.5
"170" "2-Back" "Body" "target" "meanRT" 1167.25
"171" "2-Back" "Body" "lure" "medianRT" 1343
"172" "2-Back" "Body" "lure" "meanRT" 1364.33333333333
"173" "2-Back" "Body" "nonlure" "medianRT" 1418
"174" "2-Back" "Body" "nonlure" "meanRT" 1294
"175" "2-Back" "Body" "nontarget" "medianRT" 1345
"176" "2-Back" "Body" "nontarget" "meanRT" 1308.06666666667
"177" "0-Back" "Tools" "target" "medianRT" 1043
"178" "0-Back" "Tools" "target" "meanRT" 1048.25
"179" "0-Back" "Tools" "lure" "medianRT" 741
"180" "0-Back" "Tools" "lure" "meanRT" 866.4
"181" "0-Back" "Tools" "nonlure" "medianRT" 671.5
"182" "0-Back" "Tools" "nonlure" "meanRT" 785.4
"183" "0-Back" "Tools" "nontarget" "medianRT" 706
"184" "0-Back" "Tools" "nontarget" "meanRT" 812.4
"185" "2-Back" "Tools" "target" "medianRT" 886
"186" "2-Back" "Tools" "target" "meanRT" 920.25
"187" "2-Back" "Tools" "lure" "medianRT" 620.5
"188" "2-Back" "Tools" "lure" "meanRT" 666.75
"189" "2-Back" "Tools" "nonlure" "medianRT" 862
"190" "2-Back" "Tools" "nonlure" "meanRT" 869.5
"191" "2-Back" "Tools" "nontarget" "medianRT" 829.5
"192" "2-Back" "Tools" "nontarget" "meanRT" 818.8125
