"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.9375
"2" "all" "Face&Place" "all" "propcorrect" 0.9375
"3" "0-Back" "Face&Place" "all" "propcorrect" 0.9
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.975
"5" "0-Back" "Face&Place" "target" "propcorrect" 0.75
"6" "0-Back" "Face&Place" "lure" "propcorrect" 0.916666666666667
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 0.95
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 0.9375
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.875
"10" "2-Back" "Face&Place" "lure" "propcorrect" 1
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 1
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 1
"13" "all" "Face" "all" "propcorrect" 0.95
"14" "all" "Place" "all" "propcorrect" 0.925
"15" "all" "Body" "all" "propcorrect" 0.9
"16" "all" "Tools" "all" "propcorrect" 0.975
"17" "0-Back" "all" "all" "propcorrect" 0.95
"18" "2-Back" "all" "all" "propcorrect" 0.925
"19" "0-Back" "Face" "all" "propcorrect" 0.95
"20" "2-Back" "Face" "all" "propcorrect" 0.95
"21" "0-Back" "Place" "all" "propcorrect" 0.85
"22" "2-Back" "Place" "all" "propcorrect" 1
"23" "0-Back" "Body" "all" "propcorrect" 1
"24" "2-Back" "Body" "all" "propcorrect" 0.8
"25" "0-Back" "Tools" "all" "propcorrect" 1
"26" "2-Back" "Tools" "all" "propcorrect" 0.95
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 0.9
"30" "0-Back" "Face" "nontarget" "propcorrect" 0.9375
"31" "2-Back" "Face" "target" "propcorrect" 0.75
"32" "2-Back" "Face" "lure" "propcorrect" 1
"33" "2-Back" "Face" "nonlure" "propcorrect" 1
"34" "2-Back" "Face" "nontarget" "propcorrect" 1
"35" "0-Back" "Place" "target" "propcorrect" 0.5
"36" "0-Back" "Place" "lure" "propcorrect" 0.833333333333333
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 0.9375
"39" "2-Back" "Place" "target" "propcorrect" 1
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 1
"42" "2-Back" "Place" "nontarget" "propcorrect" 1
"43" "0-Back" "Body" "target" "propcorrect" 1
"44" "0-Back" "Body" "lure" "propcorrect" 1
"45" "0-Back" "Body" "nonlure" "propcorrect" 1
"46" "0-Back" "Body" "nontarget" "propcorrect" 1
"47" "2-Back" "Body" "target" "propcorrect" 0.5
"48" "2-Back" "Body" "lure" "propcorrect" 0.75
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.916666666666667
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.875
"51" "0-Back" "Tools" "target" "propcorrect" 1
"52" "0-Back" "Tools" "lure" "propcorrect" 1
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 1
"55" "2-Back" "Tools" "target" "propcorrect" 1
"56" "2-Back" "Tools" "lure" "propcorrect" 0.75
"57" "2-Back" "Tools" "nonlure" "propcorrect" 1
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.9375
"59" "all" "all" NA "dprime" 2.68830863884768
"60" "all" "Face&Place" NA "dprime" 2.58961712685109
"61" "0-Back" "Face&Place" NA "dprime" 2.02365595753616
"62" "2-Back" "Face&Place" NA "dprime" 3.13352831899403
"63" "0-Back" "all" NA "dprime" 2.81795643648268
"64" "2-Back" "all" NA "dprime" 2.42944477088387
"65" "all" "Face" NA "dprime" 2.6580431956866
"66" "all" "Place" NA "dprime" 2.28007742743468
"67" "all" "Body" NA "dprime" 2.02365595753616
"68" "all" "Tools" NA "dprime" 3.28384044760795
"69" "0-Back" "Face" NA "dprime" 2.63325380547526
"70" "2-Back" "Face" NA "dprime" 2.41391047304147
"71" "0-Back" "Place" NA "dprime" 1.35170223993066
"72" "2-Back" "Place" NA "dprime" 3.17106152587803
"73" "0-Back" "Body" NA "dprime" 3.17106152587803
"74" "2-Back" "Body" NA "dprime" 1.04913139796397
"75" "0-Back" "Tools" NA "dprime" 3.17106152587803
"76" "2-Back" "Tools" NA "dprime" 2.63325380547526
"77" "all" "all" "all" "medianRT" 850
"78" "all" "all" "all" "meanRT" 920.406666666667
"79" "all" "Face&Place" "all" "medianRT" 881
"80" "all" "Face&Place" "all" "meanRT" 920.733333333333
"81" "0-Back" "Face&Place" "all" "medianRT" 740
"82" "0-Back" "Face&Place" "all" "meanRT" 763.444444444444
"83" "2-Back" "Face&Place" "all" "medianRT" 1043
"84" "2-Back" "Face&Place" "all" "meanRT" 1065.92307692308
"85" "0-Back" "Face&Place" "target" "medianRT" 761.5
"86" "0-Back" "Face&Place" "target" "meanRT" 751.5
"87" "0-Back" "Face&Place" "lure" "medianRT" 800
"88" "0-Back" "Face&Place" "lure" "meanRT" 828.181818181818
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 650
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 729.736842105263
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 735.5
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 765.833333333333
"93" "2-Back" "Face&Place" "target" "medianRT" 902
"94" "2-Back" "Face&Place" "target" "meanRT" 1009.71428571429
"95" "2-Back" "Face&Place" "lure" "medianRT" 1132
"96" "2-Back" "Face&Place" "lure" "meanRT" 1174
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 995
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 1046.29166666667
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 1056.5
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1078.21875
"101" "all" "Face" "all" "medianRT" 831
"102" "all" "Face" "all" "meanRT" 891.789473684211
"103" "all" "Place" "all" "medianRT" 954
"104" "all" "Place" "all" "meanRT" 950.459459459459
"105" "all" "Body" "all" "medianRT" 833
"106" "all" "Body" "all" "meanRT" 938
"107" "all" "Tools" "all" "medianRT" 837
"108" "all" "Tools" "all" "meanRT" 903.538461538462
"109" "0-Back" "all" "all" "medianRT" 713.5
"110" "0-Back" "all" "all" "meanRT" 768.802631578947
"111" "2-Back" "all" "all" "medianRT" 1016
"112" "2-Back" "all" "all" "meanRT" 1076.10810810811
"113" "0-Back" "Face" "all" "medianRT" 745
"114" "0-Back" "Face" "all" "meanRT" 761.789473684211
"115" "2-Back" "Face" "all" "medianRT" 929
"116" "2-Back" "Face" "all" "meanRT" 1021.78947368421
"117" "0-Back" "Place" "all" "medianRT" 735
"118" "0-Back" "Place" "all" "meanRT" 765.294117647059
"119" "2-Back" "Place" "all" "medianRT" 1096
"120" "2-Back" "Place" "all" "meanRT" 1107.85
"121" "0-Back" "Body" "all" "medianRT" 783
"122" "0-Back" "Body" "all" "meanRT" 885.4
"123" "2-Back" "Body" "all" "medianRT" 925
"124" "2-Back" "Body" "all" "meanRT" 1003.75
"125" "0-Back" "Tools" "all" "medianRT" 617.5
"126" "0-Back" "Tools" "all" "meanRT" 661.85
"127" "2-Back" "Tools" "all" "medianRT" 1042
"128" "2-Back" "Tools" "all" "meanRT" 1157.94736842105
"129" "0-Back" "Face" "target" "medianRT" 757
"130" "0-Back" "Face" "target" "meanRT" 746.5
"131" "0-Back" "Face" "lure" "medianRT" 782
"132" "0-Back" "Face" "lure" "meanRT" 867.833333333333
"133" "0-Back" "Face" "nonlure" "medianRT" 718
"134" "0-Back" "Face" "nonlure" "meanRT" 697.888888888889
"135" "0-Back" "Face" "nontarget" "medianRT" 745
"136" "0-Back" "Face" "nontarget" "meanRT" 765.866666666667
"137" "2-Back" "Face" "target" "medianRT" 1010.5
"138" "2-Back" "Face" "target" "meanRT" 1141.25
"139" "2-Back" "Face" "lure" "medianRT" 1132
"140" "2-Back" "Face" "lure" "meanRT" 1139.25
"141" "2-Back" "Face" "nonlure" "medianRT" 917.5
"142" "2-Back" "Face" "nonlure" "meanRT" 997.583333333333
"143" "2-Back" "Face" "nontarget" "medianRT" 948.5
"144" "2-Back" "Face" "nontarget" "meanRT" 1033
"145" "0-Back" "Place" "target" "medianRT" 761.5
"146" "0-Back" "Place" "target" "meanRT" 755.25
"147" "0-Back" "Place" "lure" "medianRT" 880
"148" "0-Back" "Place" "lure" "meanRT" 804
"149" "0-Back" "Place" "nonlure" "medianRT" 635.5
"150" "0-Back" "Place" "nonlure" "meanRT" 758.4
"151" "0-Back" "Place" "nontarget" "medianRT" 754.5
"152" "0-Back" "Place" "nontarget" "meanRT" 775.5
"153" "2-Back" "Place" "target" "medianRT" 970.5
"154" "2-Back" "Place" "target" "meanRT" 1045.5
"155" "2-Back" "Place" "lure" "medianRT" 1165.5
"156" "2-Back" "Place" "lure" "meanRT" 1208.75
"157" "2-Back" "Place" "nonlure" "medianRT" 1109.5
"158" "2-Back" "Place" "nonlure" "meanRT" 1095
"159" "2-Back" "Place" "nontarget" "medianRT" 1122.5
"160" "2-Back" "Place" "nontarget" "meanRT" 1123.4375
"161" "0-Back" "Body" "target" "medianRT" 932
"162" "0-Back" "Body" "target" "meanRT" 1062.5
"163" "0-Back" "Body" "lure" "medianRT" 707
"164" "0-Back" "Body" "lure" "meanRT" 737.5
"165" "0-Back" "Body" "nonlure" "medianRT" 832
"166" "0-Back" "Body" "nonlure" "meanRT" 903.3
"167" "0-Back" "Body" "nontarget" "medianRT" 753.5
"168" "0-Back" "Body" "nontarget" "meanRT" 841.125
"169" "2-Back" "Body" "target" "medianRT" 730
"170" "2-Back" "Body" "target" "meanRT" 677.333333333333
"171" "2-Back" "Body" "lure" "medianRT" 1135
"172" "2-Back" "Body" "lure" "meanRT" 1133.25
"173" "2-Back" "Body" "nonlure" "medianRT" 937
"174" "2-Back" "Body" "nonlure" "meanRT" 995.166666666667
"175" "2-Back" "Body" "nontarget" "medianRT" 961
"176" "2-Back" "Body" "nontarget" "meanRT" 1029.6875
"177" "0-Back" "Tools" "target" "medianRT" 603
"178" "0-Back" "Tools" "target" "meanRT" 699.5
"179" "0-Back" "Tools" "lure" "medianRT" 555.5
"180" "0-Back" "Tools" "lure" "meanRT" 642.833333333333
"181" "0-Back" "Tools" "nonlure" "medianRT" 627.5
"182" "0-Back" "Tools" "nonlure" "meanRT" 658.2
"183" "0-Back" "Tools" "nontarget" "medianRT" 617.5
"184" "0-Back" "Tools" "nontarget" "meanRT" 652.4375
"185" "2-Back" "Tools" "target" "medianRT" 997
"186" "2-Back" "Tools" "target" "meanRT" 993.75
"187" "2-Back" "Tools" "lure" "medianRT" 1292
"188" "2-Back" "Tools" "lure" "meanRT" 1342.75
"189" "2-Back" "Tools" "nonlure" "medianRT" 1028
"190" "2-Back" "Tools" "nonlure" "meanRT" 1175.5
"191" "2-Back" "Tools" "nontarget" "medianRT" 1087.5
"192" "2-Back" "Tools" "nontarget" "meanRT" 1217.3125
