"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.7625
"2" "all" "Face&Place" "all" "propcorrect" 0.8125
"3" "0-Back" "Face&Place" "all" "propcorrect" 1
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.625
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 1
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.625
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.75
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.583333333333333
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.625
"13" "all" "Face" "all" "propcorrect" 0.725
"14" "all" "Place" "all" "propcorrect" 0.9
"15" "all" "Body" "all" "propcorrect" 0.625
"16" "all" "Tools" "all" "propcorrect" 0.8
"17" "0-Back" "all" "all" "propcorrect" 0.875
"18" "2-Back" "all" "all" "propcorrect" 0.65
"19" "0-Back" "Face" "all" "propcorrect" 1
"20" "2-Back" "Face" "all" "propcorrect" 0.45
"21" "0-Back" "Place" "all" "propcorrect" 1
"22" "2-Back" "Place" "all" "propcorrect" 0.8
"23" "0-Back" "Body" "all" "propcorrect" 0.65
"24" "2-Back" "Body" "all" "propcorrect" 0.6
"25" "0-Back" "Tools" "all" "propcorrect" 0.85
"26" "2-Back" "Tools" "all" "propcorrect" 0.75
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 1
"31" "2-Back" "Face" "target" "propcorrect" 0.25
"32" "2-Back" "Face" "lure" "propcorrect" 0.5
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.5
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.5
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 1
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 0.666666666666667
"42" "2-Back" "Place" "nontarget" "propcorrect" 0.75
"43" "0-Back" "Body" "target" "propcorrect" 0.25
"44" "0-Back" "Body" "lure" "propcorrect" 0.666666666666667
"45" "0-Back" "Body" "nonlure" "propcorrect" 0.8
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.75
"47" "2-Back" "Body" "target" "propcorrect" 0.5
"48" "2-Back" "Body" "lure" "propcorrect" 0.5
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.666666666666667
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.625
"51" "0-Back" "Tools" "target" "propcorrect" 1
"52" "0-Back" "Tools" "lure" "propcorrect" 0.833333333333333
"53" "0-Back" "Tools" "nonlure" "propcorrect" 0.8
"54" "0-Back" "Tools" "nontarget" "propcorrect" 0.8125
"55" "2-Back" "Tools" "target" "propcorrect" 0.75
"56" "2-Back" "Tools" "lure" "propcorrect" 0
"57" "2-Back" "Tools" "nonlure" "propcorrect" 1
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.75
"59" "all" "all" NA "dprime" 1.30278609967395
"60" "all" "Face&Place" NA "dprime" 1.69021586162127
"61" "0-Back" "Face&Place" NA "dprime" 3.75932557091538
"62" "2-Back" "Face&Place" NA "dprime" 0.590881952757442
"63" "0-Back" "all" NA "dprime" 2.0191717906393
"64" "2-Back" "all" NA "dprime" 0.695032206280154
"65" "all" "Face" NA "dprime" 0.933053453506985
"66" "all" "Place" NA "dprime" 2.69002238011656
"67" "all" "Body" NA "dprime" 0.190572973929759
"68" "all" "Tools" NA "dprime" 1.715280160865
"69" "0-Back" "Face" NA "dprime" 3.17106152587803
"70" "2-Back" "Face" NA "dprime" -0.524400512708041
"71" "0-Back" "Place" NA "dprime" 3.17106152587803
"72" "2-Back" "Place" NA "dprime" 1.91045578317679
"73" "0-Back" "Body" NA "dprime" 0.104503704924149
"74" "2-Back" "Body" NA "dprime" 0.299306910465667
"75" "0-Back" "Tools" NA "dprime" 2.10234365387698
"76" "2-Back" "Tools" NA "dprime" 1.15330473034023
"77" "all" "all" "all" "medianRT" 896
"78" "all" "all" "all" "meanRT" 977.114754098361
"79" "all" "Face&Place" "all" "medianRT" 810
"80" "all" "Face&Place" "all" "meanRT" 898.384615384615
"81" "0-Back" "Face&Place" "all" "medianRT" 759
"82" "0-Back" "Face&Place" "all" "meanRT" 834.675
"83" "2-Back" "Face&Place" "all" "medianRT" 942
"84" "2-Back" "Face&Place" "all" "meanRT" 1000.32
"85" "0-Back" "Face&Place" "target" "medianRT" 728.5
"86" "0-Back" "Face&Place" "target" "meanRT" 772.25
"87" "0-Back" "Face&Place" "lure" "medianRT" 749.5
"88" "0-Back" "Face&Place" "lure" "meanRT" 880.333333333333
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 767.5
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 832.25
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 759
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 850.28125
"93" "2-Back" "Face&Place" "target" "medianRT" 773
"94" "2-Back" "Face&Place" "target" "meanRT" 863
"95" "2-Back" "Face&Place" "lure" "medianRT" 1072.5
"96" "2-Back" "Face&Place" "lure" "meanRT" 1043.83333333333
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 938
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 1030.71428571429
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 971
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1034.65
"101" "all" "Face" "all" "medianRT" 765
"102" "all" "Face" "all" "meanRT" 849.862068965517
"103" "all" "Place" "all" "medianRT" 916.5
"104" "all" "Place" "all" "meanRT" 937.472222222222
"105" "all" "Body" "all" "medianRT" 1233
"106" "all" "Body" "all" "meanRT" 1256.4
"107" "all" "Tools" "all" "medianRT" 797.5
"108" "all" "Tools" "all" "meanRT" 918.84375
"109" "0-Back" "all" "all" "medianRT" 745
"110" "0-Back" "all" "all" "meanRT" 832.257142857143
"111" "2-Back" "all" "all" "medianRT" 1120.5
"112" "2-Back" "all" "all" "meanRT" 1172.11538461538
"113" "0-Back" "Face" "all" "medianRT" 752.5
