"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.975
"2" "all" "Face&Place" "all" "propcorrect" 0.975
"3" "0-Back" "Face&Place" "all" "propcorrect" 1
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.95
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 1
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.875
"10" "2-Back" "Face&Place" "lure" "propcorrect" 1
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.958333333333333
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.96875
"13" "all" "Face" "all" "propcorrect" 0.975
"14" "all" "Place" "all" "propcorrect" 0.975
"15" "all" "Body" "all" "propcorrect" 0.975
"16" "all" "Tools" "all" "propcorrect" 0.975
"17" "0-Back" "all" "all" "propcorrect" 0.975
"18" "2-Back" "all" "all" "propcorrect" 0.975
"19" "0-Back" "Face" "all" "propcorrect" 1
"20" "2-Back" "Face" "all" "propcorrect" 0.95
"21" "0-Back" "Place" "all" "propcorrect" 1
"22" "2-Back" "Place" "all" "propcorrect" 0.95
"23" "0-Back" "Body" "all" "propcorrect" 0.95
"24" "2-Back" "Body" "all" "propcorrect" 1
"25" "0-Back" "Tools" "all" "propcorrect" 0.95
"26" "2-Back" "Tools" "all" "propcorrect" 1
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 1
"31" "2-Back" "Face" "target" "propcorrect" 1
"32" "2-Back" "Face" "lure" "propcorrect" 1
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.916666666666667
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.9375
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 0.75
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 1
"42" "2-Back" "Place" "nontarget" "propcorrect" 1
"43" "0-Back" "Body" "target" "propcorrect" 1
"44" "0-Back" "Body" "lure" "propcorrect" 1
"45" "0-Back" "Body" "nonlure" "propcorrect" 0.9
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.9375
"47" "2-Back" "Body" "target" "propcorrect" 1
"48" "2-Back" "Body" "lure" "propcorrect" 1
"49" "2-Back" "Body" "nonlure" "propcorrect" 1
"50" "2-Back" "Body" "nontarget" "propcorrect" 1
"51" "0-Back" "Tools" "target" "propcorrect" 0.75
"52" "0-Back" "Tools" "lure" "propcorrect" 1
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 1
"55" "2-Back" "Tools" "target" "propcorrect" 1
"56" "2-Back" "Tools" "lure" "propcorrect" 1
"57" "2-Back" "Tools" "nonlure" "propcorrect" 1
"58" "2-Back" "Tools" "nontarget" "propcorrect" 1
"59" "all" "all" NA "dprime" 3.50092923423387
"60" "all" "Face&Place" NA "dprime" 3.3456858458192
"61" "0-Back" "Face&Place" NA "dprime" 3.75932557091538
"62" "2-Back" "Face&Place" NA "dprime" 2.6580431956866
"63" "0-Back" "all" NA "dprime" 3.3456858458192
"64" "2-Back" "all" NA "dprime" 3.3456858458192
"65" "all" "Face" NA "dprime" 3.28384044760795
"66" "all" "Place" NA "dprime" 3.13352831899403
"67" "all" "Body" NA "dprime" 3.28384044760795
"68" "all" "Tools" NA "dprime" 3.13352831899403
"69" "0-Back" "Face" NA "dprime" 3.17106152587803
"70" "2-Back" "Face" NA "dprime" 2.63325380547526
"71" "0-Back" "Place" NA "dprime" 3.17106152587803
"72" "2-Back" "Place" NA "dprime" 2.41391047304147
"73" "0-Back" "Body" NA "dprime" 2.63325380547526
"74" "2-Back" "Body" NA "dprime" 3.17106152587803
"75" "0-Back" "Tools" NA "dprime" 2.41391047304147
"76" "2-Back" "Tools" NA "dprime" 3.17106152587803
"77" "all" "all" "all" "medianRT" 675.5
"78" "all" "all" "all" "meanRT" 751.205128205128
"79" "all" "Face&Place" "all" "medianRT" 680
"80" "all" "Face&Place" "all" "meanRT" 766.769230769231
"81" "0-Back" "Face&Place" "all" "medianRT" 615.5
"82" "0-Back" "Face&Place" "all" "meanRT" 636.775
"83" "2-Back" "Face&Place" "all" "medianRT" 827.5
"84" "2-Back" "Face&Place" "all" "meanRT" 903.605263157895
"85" "0-Back" "Face&Place" "target" "medianRT" 623.5
"86" "0-Back" "Face&Place" "target" "meanRT" 628.625
"87" "0-Back" "Face&Place" "lure" "medianRT" 609.5
"88" "0-Back" "Face&Place" "lure" "meanRT" 665.916666666667
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 603.5
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 622.55
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 603.5
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 638.8125
"93" "2-Back" "Face&Place" "target" "medianRT" 822
"94" "2-Back" "Face&Place" "target" "meanRT" 859.571428571429
"95" "2-Back" "Face&Place" "lure" "medianRT" 881.5
"96" "2-Back" "Face&Place" "lure" "meanRT" 929
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 793
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 908.173913043478
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 830
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 913.548387096774
"101" "all" "Face" "all" "medianRT" 656
"102" "all" "Face" "all" "meanRT" 724.205128205128
"103" "all" "Place" "all" "medianRT" 719
"104" "all" "Place" "all" "meanRT" 809.333333333333
"105" "all" "Body" "all" "medianRT" 823
"106" "all" "Body" "all" "meanRT" 815
"107" "all" "Tools" "all" "medianRT" 614
"108" "all" "Tools" "all" "meanRT" 656.282051282051
"109" "0-Back" "all" "all" "medianRT" 576
"110" "0-Back" "all" "all" "meanRT" 622.846153846154
"111" "2-Back" "all" "all" "medianRT" 824.5
"112" "2-Back" "all" "all" "meanRT" 879.564102564103
"113" "0-Back" "Face" "all" "medianRT" 584.5
"114" "0-Back" "Face" "all" "meanRT" 648.4
"115" "2-Back" "Face" "all" "medianRT" 774
"116" "2-Back" "Face" "all" "meanRT" 804
"117" "0-Back" "Place" "all" "medianRT" 626
"118" "0-Back" "Place" "all" "meanRT" 625.15
"119" "2-Back" "Place" "all" "medianRT" 921
"120" "2-Back" "Place" "all" "meanRT" 1003.21052631579
"121" "0-Back" "Body" "all" "medianRT" 562
"122" "0-Back" "Body" "all" "meanRT" 641.578947368421
"123" "2-Back" "Body" "all" "medianRT" 939
"124" "2-Back" "Body" "all" "meanRT" 979.75
"125" "0-Back" "Tools" "all" "medianRT" 521
"126" "0-Back" "Tools" "all" "meanRT" 574.789473684211
"127" "2-Back" "Tools" "all" "medianRT" 674.5
"128" "2-Back" "Tools" "all" "meanRT" 733.7
"129" "0-Back" "Face" "target" "medianRT" 650
"130" "0-Back" "Face" "target" "meanRT" 659.25
"131" "0-Back" "Face" "lure" "medianRT" 554.5
"132" "0-Back" "Face" "lure" "meanRT" 670.166666666667
"133" "0-Back" "Face" "nonlure" "medianRT" 584.5
"134" "0-Back" "Face" "nonlure" "meanRT" 631
"135" "0-Back" "Face" "nontarget" "medianRT" 568.5
"136" "0-Back" "Face" "nontarget" "meanRT" 645.6875
"137" "2-Back" "Face" "target" "medianRT" 755.5
"138" "2-Back" "Face" "target" "meanRT" 778.25
"139" "2-Back" "Face" "lure" "medianRT" 881.5
"140" "2-Back" "Face" "lure" "meanRT" 919.5
"141" "2-Back" "Face" "nonlure" "medianRT" 667
"142" "2-Back" "Face" "nonlure" "meanRT" 771.363636363636
"143" "2-Back" "Face" "nontarget" "medianRT" 774
"144" "2-Back" "Face" "nontarget" "meanRT" 810.866666666667
"145" "0-Back" "Place" "target" "medianRT" 598.5
"146" "0-Back" "Place" "target" "meanRT" 598
"147" "0-Back" "Place" "lure" "medianRT" 655.5
"148" "0-Back" "Place" "lure" "meanRT" 661.666666666667
"149" "0-Back" "Place" "nonlure" "medianRT" 627.5
"150" "0-Back" "Place" "nonlure" "meanRT" 614.1
"151" "0-Back" "Place" "nontarget" "medianRT" 637.5
"152" "0-Back" "Place" "nontarget" "meanRT" 631.9375
"153" "2-Back" "Place" "target" "medianRT" 823.5
"154" "2-Back" "Place" "target" "meanRT" 841.75
"155" "2-Back" "Place" "lure" "medianRT" 933
"156" "2-Back" "Place" "lure" "meanRT" 938.5
"157" "2-Back" "Place" "nonlure" "medianRT" 938.5
"158" "2-Back" "Place" "nonlure" "meanRT" 1033.58333333333
"159" "2-Back" "Place" "nontarget" "medianRT" 938.5
"160" "2-Back" "Place" "nontarget" "meanRT" 1009.8125
"161" "0-Back" "Body" "target" "medianRT" 540
"162" "0-Back" "Body" "target" "meanRT" 658.75
"163" "0-Back" "Body" "lure" "medianRT" 524
"164" "0-Back" "Body" "lure" "meanRT" 597.5
"165" "0-Back" "Body" "nonlure" "medianRT" 574.5
"166" "0-Back" "Body" "nonlure" "meanRT" 635.3
"167" "0-Back" "Body" "nontarget" "medianRT" 560.5
"168" "0-Back" "Body" "nontarget" "meanRT" 621.125
"169" "2-Back" "Body" "target" "medianRT" 916
"170" "2-Back" "Body" "target" "meanRT" 1060.5
"171" "2-Back" "Body" "lure" "medianRT" 1124
"172" "2-Back" "Body" "lure" "meanRT" 1138.25
"173" "2-Back" "Body" "nonlure" "medianRT" 880
"174" "2-Back" "Body" "nonlure" "meanRT" 900
"175" "2-Back" "Body" "nontarget" "medianRT" 939
"176" "2-Back" "Body" "nontarget" "meanRT" 959.5625
"177" "0-Back" "Tools" "target" "medianRT" 725
"178" "0-Back" "Tools" "target" "meanRT" 686.75
"179" "0-Back" "Tools" "lure" "medianRT" 471
"180" "0-Back" "Tools" "lure" "meanRT" 464.166666666667
"181" "0-Back" "Tools" "nonlure" "medianRT" 542
"182" "0-Back" "Tools" "nonlure" "meanRT" 612.8
"183" "0-Back" "Tools" "nontarget" "medianRT" 504.5
"184" "0-Back" "Tools" "nontarget" "meanRT" 557.0625
"185" "2-Back" "Tools" "target" "medianRT" 759
"186" "2-Back" "Tools" "target" "meanRT" 762.25
"187" "2-Back" "Tools" "lure" "medianRT" 687.5
"188" "2-Back" "Tools" "lure" "meanRT" 713.25
"189" "2-Back" "Tools" "nonlure" "medianRT" 674.5
"190" "2-Back" "Tools" "nonlure" "meanRT" 731
"191" "2-Back" "Tools" "nontarget" "medianRT" 674.5
"192" "2-Back" "Tools" "nontarget" "meanRT" 726.5625
