"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.9125
"2" "all" "Face&Place" "all" "propcorrect" 0.925
"3" "0-Back" "Face&Place" "all" "propcorrect" 0.975
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.875
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 0.916666666666667
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 0.96875
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.75
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.875
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.916666666666667
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.90625
"13" "all" "Face" "all" "propcorrect" 0.925
"14" "all" "Place" "all" "propcorrect" 0.925
"15" "all" "Body" "all" "propcorrect" 0.85
"16" "all" "Tools" "all" "propcorrect" 0.95
"17" "0-Back" "all" "all" "propcorrect" 0.9625
"18" "2-Back" "all" "all" "propcorrect" 0.8625
"19" "0-Back" "Face" "all" "propcorrect" 1
"20" "2-Back" "Face" "all" "propcorrect" 0.85
"21" "0-Back" "Place" "all" "propcorrect" 0.95
"22" "2-Back" "Place" "all" "propcorrect" 0.9
"23" "0-Back" "Body" "all" "propcorrect" 0.95
"24" "2-Back" "Body" "all" "propcorrect" 0.75
"25" "0-Back" "Tools" "all" "propcorrect" 0.95
"26" "2-Back" "Tools" "all" "propcorrect" 0.95
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 1
"31" "2-Back" "Face" "target" "propcorrect" 0.75
"32" "2-Back" "Face" "lure" "propcorrect" 0.75
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.916666666666667
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.875
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 0.833333333333333
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 0.9375
"39" "2-Back" "Place" "target" "propcorrect" 0.75
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 0.916666666666667
"42" "2-Back" "Place" "nontarget" "propcorrect" 0.9375
"43" "0-Back" "Body" "target" "propcorrect" 1
"44" "0-Back" "Body" "lure" "propcorrect" 1
"45" "0-Back" "Body" "nonlure" "propcorrect" 0.9
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.9375
"47" "2-Back" "Body" "target" "propcorrect" 0.75
"48" "2-Back" "Body" "lure" "propcorrect" 0.5
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.833333333333333
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.75
"51" "0-Back" "Tools" "target" "propcorrect" 0.75
"52" "0-Back" "Tools" "lure" "propcorrect" 1
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 1
"55" "2-Back" "Tools" "target" "propcorrect" 1
"56" "2-Back" "Tools" "lure" "propcorrect" 0.75
"57" "2-Back" "Tools" "nonlure" "propcorrect" 1
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.9375
"59" "all" "all" NA "dprime" 2.49255055504318
"60" "all" "Face&Place" NA "dprime" 2.53067588839007
"61" "0-Back" "Face&Place" NA "dprime" 3.28384044760795
"62" "2-Back" "Face&Place" NA "dprime" 1.8372096532011
"63" "0-Back" "all" NA "dprime" 3.12052727844937
"64" "2-Back" "all" NA "dprime" 1.94355438652332
"65" "all" "Face" NA "dprime" 2.40162172578808
"66" "all" "Place" NA "dprime" 2.40162172578808
"67" "all" "Body" NA "dprime" 1.9348431322034
"68" "all" "Tools" NA "dprime" 2.6580431956866
"69" "0-Back" "Face" NA "dprime" 3.17106152587803
"70" "2-Back" "Face" NA "dprime" 1.57353191067201
"71" "0-Back" "Place" NA "dprime" 2.63325380547526
"72" "2-Back" "Place" NA "dprime" 1.8761027526387
"73" "0-Back" "Body" NA "dprime" 2.63325380547526
"74" "2-Back" "Body" NA "dprime" 1.15330473034023
"75" "0-Back" "Tools" NA "dprime" 2.41391047304147
"76" "2-Back" "Tools" NA "dprime" 2.63325380547526
"77" "all" "all" "all" "medianRT" 789
"78" "all" "all" "all" "meanRT" 879.205479452055
"79" "all" "Face&Place" "all" "medianRT" 744.5
"80" "all" "Face&Place" "all" "meanRT" 833.648648648649
"81" "0-Back" "Face&Place" "all" "medianRT" 636
"82" "0-Back" "Face&Place" "all" "meanRT" 712.282051282051
"83" "2-Back" "Face&Place" "all" "medianRT" 918
"84" "2-Back" "Face&Place" "all" "meanRT" 968.885714285714
"85" "0-Back" "Face&Place" "target" "medianRT" 631
"86" "0-Back" "Face&Place" "target" "meanRT" 648.375
"87" "0-Back" "Face&Place" "lure" "medianRT" 532
"88" "0-Back" "Face&Place" "lure" "meanRT" 598.272727272727
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 728.5
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 800.55
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 676
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 728.774193548387
"93" "2-Back" "Face&Place" "target" "medianRT" 711
"94" "2-Back" "Face&Place" "target" "meanRT" 686.833333333333
"95" "2-Back" "Face&Place" "lure" "medianRT" 1130
"96" "2-Back" "Face&Place" "lure" "meanRT" 1149.57142857143
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 902
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 988.318181818182
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 922
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1027.24137931034
"101" "all" "Face" "all" "medianRT" 770
"102" "all" "Face" "all" "meanRT" 841.567567567568
"103" "all" "Place" "all" "medianRT" 743
"104" "all" "Place" "all" "meanRT" 825.72972972973
"105" "all" "Body" "all" "medianRT" 910.5
"106" "all" "Body" "all" "meanRT" 934.5
"107" "all" "Tools" "all" "medianRT" 770
"108" "all" "Tools" "all" "meanRT" 918.447368421053
"109" "0-Back" "all" "all" "medianRT" 676
"110" "0-Back" "all" "all" "meanRT" 753.883116883117
"111" "2-Back" "all" "all" "medianRT" 960
"112" "2-Back" "all" "all" "meanRT" 1019.05797101449
"113" "0-Back" "Face" "all" "medianRT" 627.5
"114" "0-Back" "Face" "all" "meanRT" 755.75
"115" "2-Back" "Face" "all" "medianRT" 886
"116" "2-Back" "Face" "all" "meanRT" 942.529411764706
"117" "0-Back" "Place" "all" "medianRT" 664
"118" "0-Back" "Place" "all" "meanRT" 666.526315789474
"119" "2-Back" "Place" "all" "medianRT" 920
"120" "2-Back" "Place" "all" "meanRT" 993.777777777778
"121" "0-Back" "Body" "all" "medianRT" 876
"122" "0-Back" "Body" "all" "meanRT" 887.842105263158
