"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.75
"2" "all" "Face&Place" "all" "propcorrect" 0.825
"3" "0-Back" "Face&Place" "all" "propcorrect" 1
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.65
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 1
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.375
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.875
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.666666666666667
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.71875
"13" "all" "Face" "all" "propcorrect" 0.8
"14" "all" "Place" "all" "propcorrect" 0.85
"15" "all" "Body" "all" "propcorrect" 0.725
"16" "all" "Tools" "all" "propcorrect" 0.625
"17" "0-Back" "all" "all" "propcorrect" 0.9375
"18" "2-Back" "all" "all" "propcorrect" 0.5625
"19" "0-Back" "Face" "all" "propcorrect" 1
"20" "2-Back" "Face" "all" "propcorrect" 0.6
"21" "0-Back" "Place" "all" "propcorrect" 1
"22" "2-Back" "Place" "all" "propcorrect" 0.7
"23" "0-Back" "Body" "all" "propcorrect" 0.95
"24" "2-Back" "Body" "all" "propcorrect" 0.5
"25" "0-Back" "Tools" "all" "propcorrect" 0.8
"26" "2-Back" "Tools" "all" "propcorrect" 0.45
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 1
"31" "2-Back" "Face" "target" "propcorrect" 0.5
"32" "2-Back" "Face" "lure" "propcorrect" 1
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.5
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.625
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 0.25
"40" "2-Back" "Place" "lure" "propcorrect" 0.75
"41" "2-Back" "Place" "nonlure" "propcorrect" 0.833333333333333
"42" "2-Back" "Place" "nontarget" "propcorrect" 0.8125
"43" "0-Back" "Body" "target" "propcorrect" 1
"44" "0-Back" "Body" "lure" "propcorrect" 0.833333333333333
"45" "0-Back" "Body" "nonlure" "propcorrect" 1
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.9375
"47" "2-Back" "Body" "target" "propcorrect" 0.25
"48" "2-Back" "Body" "lure" "propcorrect" 0.75
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.5
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.5625
"51" "0-Back" "Tools" "target" "propcorrect" 0.25
"52" "0-Back" "Tools" "lure" "propcorrect" 0.833333333333333
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 0.9375
"55" "2-Back" "Tools" "target" "propcorrect" 0
"56" "2-Back" "Tools" "lure" "propcorrect" 0.5
"57" "2-Back" "Tools" "nonlure" "propcorrect" 0.583333333333333
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.5625
"59" "all" "all" NA "dprime" 0.925988904012446
"60" "all" "Face&Place" NA "dprime" 1.51092459054775
"61" "0-Back" "Face&Place" NA "dprime" 3.75932557091538
"62" "2-Back" "Face&Place" NA "dprime" 0.277376127164924
"63" "0-Back" "all" NA "dprime" 2.58961712685109
"64" "2-Back" "all" NA "dprime" -0.274554647686261
"65" "all" "Face" NA "dprime" 1.44195083212447
"66" "all" "Place" NA "dprime" 1.52997000241383
"67" "all" "Body" NA "dprime" 0.933053453506985
"68" "all" "Tools" NA "dprime" -0.316584259657224
"69" "0-Back" "Face" NA "dprime" 3.17106152587803
"70" "2-Back" "Face" NA "dprime" 0.299306910465667
"71" "0-Back" "Place" NA "dprime" 3.17106152587803
"72" "2-Back" "Place" NA "dprime" 0.29639157562434
"73" "0-Back" "Body" NA "dprime" 2.63325380547526
"74" "2-Back" "Body" NA "dprime" -0.376413402982202
"75" "0-Back" "Tools" NA "dprime" 0.827301727222621
"76" "2-Back" "Tools" NA "dprime" -1.13356445581876
"77" "all" "all" "all" "medianRT" 773
"78" "all" "all" "all" "meanRT" 895.933333333333
"79" "all" "Face&Place" "all" "medianRT" 800
"80" "all" "Face&Place" "all" "meanRT" 935.80303030303
"81" "0-Back" "Face&Place" "all" "medianRT" 694
"82" "0-Back" "Face&Place" "all" "meanRT" 785.675
"83" "2-Back" "Face&Place" "all" "medianRT" 1102.5
"84" "2-Back" "Face&Place" "all" "meanRT" 1166.76923076923
"85" "0-Back" "Face&Place" "target" "medianRT" 631.5
"86" "0-Back" "Face&Place" "target" "meanRT" 628.625
"87" "0-Back" "Face&Place" "lure" "medianRT" 694
"88" "0-Back" "Face&Place" "lure" "meanRT" 841.75
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 727.5
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 814.85
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 700.5
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 824.9375
"93" "2-Back" "Face&Place" "target" "medianRT" 1160
"94" "2-Back" "Face&Place" "target" "meanRT" 1319
"95" "2-Back" "Face&Place" "lure" "medianRT" 956
"96" "2-Back" "Face&Place" "lure" "meanRT" 995.285714285714
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 1192.5
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 1213.25
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 1045
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1146.91304347826
"101" "all" "Face" "all" "medianRT" 825.5
"102" "all" "Face" "all" "meanRT" 986.5625
"103" "all" "Place" "all" "medianRT" 800
"104" "all" "Place" "all" "meanRT" 888.029411764706
"105" "all" "Body" "all" "medianRT" 670
"106" "all" "Body" "all" "meanRT" 836.586206896552
"107" "all" "Tools" "all" "medianRT" 804
"108" "all" "Tools" "all" "meanRT" 859.52
"109" "0-Back" "all" "all" "medianRT" 682
"110" "0-Back" "all" "all" "meanRT" 786.413333333333
"111" "2-Back" "all" "all" "medianRT" 1044
"112" "2-Back" "all" "all" "meanRT" 1078.46666666667
"113" "0-Back" "Face" "all" "medianRT" 712
"114" "0-Back" "Face" "all" "meanRT" 855.45
"115" "2-Back" "Face" "all" "medianRT" 1177.5
"116" "2-Back" "Face" "all" "meanRT" 1205.08333333333
"117" "0-Back" "Place" "all" "medianRT" 679.5
"118" "0-Back" "Place" "all" "meanRT" 715.9
"119" "2-Back" "Place" "all" "medianRT" 1044.5
"120" "2-Back" "Place" "all" "meanRT" 1133.92857142857
"121" "0-Back" "Body" "all" "medianRT" 623
"122" "0-Back" "Body" "all" "meanRT" 679.578947368421
"123" "2-Back" "Body" "all" "medianRT" 1092
"124" "2-Back" "Body" "all" "meanRT" 1134.9
"125" "0-Back" "Tools" "all" "medianRT" 822
"126" "0-Back" "Tools" "all" "meanRT" 915.125
"127" "2-Back" "Tools" "all" "medianRT" 675
"128" "2-Back" "Tools" "all" "meanRT" 760.666666666667
"129" "0-Back" "Face" "target" "medianRT" 662.5
"130" "0-Back" "Face" "target" "meanRT" 640.5
"131" "0-Back" "Face" "lure" "medianRT" 795.5
"132" "0-Back" "Face" "lure" "meanRT" 949
"133" "0-Back" "Face" "nonlure" "medianRT" 718
"134" "0-Back" "Face" "nonlure" "meanRT" 885.3
"135" "0-Back" "Face" "nontarget" "medianRT" 721
"136" "0-Back" "Face" "nontarget" "meanRT" 909.1875
"137" "2-Back" "Face" "target" "medianRT" 957.5
"138" "2-Back" "Face" "target" "meanRT" 1102.25
"139" "2-Back" "Face" "lure" "medianRT" 995.5
"140" "2-Back" "Face" "lure" "meanRT" 1012.25
"141" "2-Back" "Face" "nonlure" "medianRT" 1049
"142" "2-Back" "Face" "nonlure" "meanRT" 1203.42857142857
"143" "2-Back" "Face" "nontarget" "medianRT" 1049
"144" "2-Back" "Face" "nontarget" "meanRT" 1133.90909090909
"145" "0-Back" "Place" "target" "medianRT" 631.5
"146" "0-Back" "Place" "target" "meanRT" 616.75
"147" "0-Back" "Place" "lure" "medianRT" 677.5
"148" "0-Back" "Place" "lure" "meanRT" 734.5
"149" "0-Back" "Place" "nonlure" "medianRT" 746.5
"150" "0-Back" "Place" "nonlure" "meanRT" 744.4
"151" "0-Back" "Place" "nontarget" "medianRT" 700.5
"152" "0-Back" "Place" "nontarget" "meanRT" 740.6875
"153" "2-Back" "Place" "target" "medianRT" 866
"154" "2-Back" "Place" "target" "meanRT" 937
"155" "2-Back" "Place" "lure" "medianRT" 1000.5
"156" "2-Back" "Place" "lure" "meanRT" 1159.25
"157" "2-Back" "Place" "nonlure" "medianRT" 1233
"158" "2-Back" "Place" "nonlure" "meanRT" 1203.7
"159" "2-Back" "Place" "nontarget" "medianRT" 1117.5
"160" "2-Back" "Place" "nontarget" "meanRT" 1191
"161" "0-Back" "Body" "target" "medianRT" 682.5
"162" "0-Back" "Body" "target" "meanRT" 810.75
"163" "0-Back" "Body" "lure" "medianRT" 660.5
"164" "0-Back" "Body" "lure" "meanRT" 655
"165" "0-Back" "Body" "nonlure" "medianRT" 621.5
"166" "0-Back" "Body" "nonlure" "meanRT" 651.2
"167" "0-Back" "Body" "nontarget" "medianRT" 631
"168" "0-Back" "Body" "nontarget" "meanRT" 652.625
"169" "2-Back" "Body" "target" "medianRT" 632
"170" "2-Back" "Body" "target" "meanRT" 632
"171" "2-Back" "Body" "lure" "medianRT" 1118
"172" "2-Back" "Body" "lure" "meanRT" 1205
"173" "2-Back" "Body" "nonlure" "medianRT" 1054
"174" "2-Back" "Body" "nonlure" "meanRT" 1035.22222222222
"175" "2-Back" "Body" "nontarget" "medianRT" 1060
"176" "2-Back" "Body" "nontarget" "meanRT" 1077.66666666667
"177" "0-Back" "Tools" "target" "medianRT" 1001.5
"178" "0-Back" "Tools" "target" "meanRT" 944.75
"179" "0-Back" "Tools" "lure" "medianRT" 760
"180" "0-Back" "Tools" "lure" "meanRT" 760.166666666667
"181" "0-Back" "Tools" "nonlure" "medianRT" 994
"182" "0-Back" "Tools" "nonlure" "meanRT" 997.8
"183" "0-Back" "Tools" "nontarget" "medianRT" 822
"184" "0-Back" "Tools" "nontarget" "meanRT" 908.6875
"185" "2-Back" "Tools" "target" "medianRT" 835.5
"186" "2-Back" "Tools" "target" "meanRT" 878.5
"187" "2-Back" "Tools" "lure" "medianRT" 649.5
"188" "2-Back" "Tools" "lure" "meanRT" 650.5
"189" "2-Back" "Tools" "nonlure" "medianRT" 878
"190" "2-Back" "Tools" "nonlure" "meanRT" 997.111111111111
"191" "2-Back" "Tools" "nontarget" "medianRT" 678
"192" "2-Back" "Tools" "nontarget" "meanRT" 890.461538461538
