"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.93125
"2" "all" "Face&Place" "all" "propcorrect" 0.95
"3" "0-Back" "Face&Place" "all" "propcorrect" 1
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.9
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 1
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.875
"10" "2-Back" "Face&Place" "lure" "propcorrect" 1
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.875
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.90625
"13" "all" "Face" "all" "propcorrect" 0.925
"14" "all" "Place" "all" "propcorrect" 0.975
"15" "all" "Body" "all" "propcorrect" 0.9
"16" "all" "Tools" "all" "propcorrect" 0.925
"17" "0-Back" "all" "all" "propcorrect" 0.9375
"18" "2-Back" "all" "all" "propcorrect" 0.925
"19" "0-Back" "Face" "all" "propcorrect" 1
"20" "2-Back" "Face" "all" "propcorrect" 0.85
"21" "0-Back" "Place" "all" "propcorrect" 1
"22" "2-Back" "Place" "all" "propcorrect" 0.95
"23" "0-Back" "Body" "all" "propcorrect" 0.85
"24" "2-Back" "Body" "all" "propcorrect" 0.95
"25" "0-Back" "Tools" "all" "propcorrect" 0.9
"26" "2-Back" "Tools" "all" "propcorrect" 0.95
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 1
"31" "2-Back" "Face" "target" "propcorrect" 1
"32" "2-Back" "Face" "lure" "propcorrect" 1
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.75
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.8125
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 0.75
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 1
"42" "2-Back" "Place" "nontarget" "propcorrect" 1
"43" "0-Back" "Body" "target" "propcorrect" 0.75
"44" "0-Back" "Body" "lure" "propcorrect" 0.833333333333333
"45" "0-Back" "Body" "nonlure" "propcorrect" 0.9
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.875
"47" "2-Back" "Body" "target" "propcorrect" 1
"48" "2-Back" "Body" "lure" "propcorrect" 1
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.916666666666667
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.9375
"51" "0-Back" "Tools" "target" "propcorrect" 0.5
"52" "0-Back" "Tools" "lure" "propcorrect" 1
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 1
"55" "2-Back" "Tools" "target" "propcorrect" 1
"56" "2-Back" "Tools" "lure" "propcorrect" 1
"57" "2-Back" "Tools" "nonlure" "propcorrect" 0.916666666666667
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.9375
"59" "all" "all" NA "dprime" 2.66738859066093
"60" "all" "Face&Place" NA "dprime" 2.96035492248215
"61" "0-Back" "Face&Place" NA "dprime" 3.75932557091538
"62" "2-Back" "Face&Place" NA "dprime" 2.21517542145303
"63" "0-Back" "all" NA "dprime" 2.58961712685109
"64" "2-Back" "all" NA "dprime" 2.72638193411864
"65" "all" "Face" NA "dprime" 2.84097267337437
"66" "all" "Place" NA "dprime" 3.13352831899403
"67" "all" "Body" NA "dprime" 2.21517542145303
"68" "all" "Tools" NA "dprime" 2.28007742743468
"69" "0-Back" "Face" NA "dprime" 3.17106152587803
"70" "2-Back" "Face" NA "dprime" 2.10234365387698
"71" "0-Back" "Place" NA "dprime" 3.17106152587803
"72" "2-Back" "Place" NA "dprime" 2.41391047304147
"73" "0-Back" "Body" NA "dprime" 1.57353191067201
"74" "2-Back" "Body" NA "dprime" 2.63325380547526
"75" "0-Back" "Tools" NA "dprime" 1.88950996033343
"76" "2-Back" "Tools" NA "dprime" 2.63325380547526
"77" "all" "all" "all" "medianRT" 823
"78" "all" "all" "all" "meanRT" 886.590604026846
"79" "all" "Face&Place" "all" "medianRT" 821
"80" "all" "Face&Place" "all" "meanRT" 852.131578947368
"81" "0-Back" "Face&Place" "all" "medianRT" 626
"82" "0-Back" "Face&Place" "all" "meanRT" 706.25
"83" "2-Back" "Face&Place" "all" "medianRT" 924.5
"84" "2-Back" "Face&Place" "all" "meanRT" 1014.22222222222
"85" "0-Back" "Face&Place" "target" "medianRT" 629.5
"86" "0-Back" "Face&Place" "target" "meanRT" 661.125
"87" "0-Back" "Face&Place" "lure" "medianRT" 613.5
"88" "0-Back" "Face&Place" "lure" "meanRT" 726.5
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 632.5
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 712.15
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 626
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 717.53125
"93" "2-Back" "Face&Place" "target" "medianRT" 924
"94" "2-Back" "Face&Place" "target" "meanRT" 947.857142857143
"95" "2-Back" "Face&Place" "lure" "medianRT" 877
"96" "2-Back" "Face&Place" "lure" "meanRT" 985.75
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 997
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 1047.19047619048
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 925
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1030.24137931034
"101" "all" "Face" "all" "medianRT" 802
"102" "all" "Face" "all" "meanRT" 800.594594594595
"103" "all" "Place" "all" "medianRT" 871
"104" "all" "Place" "all" "meanRT" 901.025641025641
"105" "all" "Body" "all" "medianRT" 778
"106" "all" "Body" "all" "meanRT" 901.527777777778
"107" "all" "Tools" "all" "medianRT" 901
"108" "all" "Tools" "all" "meanRT" 942.837837837838
"109" "0-Back" "all" "all" "medianRT" 692
"110" "0-Back" "all" "all" "meanRT" 723.906666666667
"111" "2-Back" "all" "all" "medianRT" 959.5
"112" "2-Back" "all" "all" "meanRT" 1051.47297297297
"113" "0-Back" "Face" "all" "medianRT" 596.5
"114" "0-Back" "Face" "all" "meanRT" 664.9
"115" "2-Back" "Face" "all" "medianRT" 883
"116" "2-Back" "Face" "all" "meanRT" 960.235294117647
"117" "0-Back" "Place" "all" "medianRT" 632.5
"118" "0-Back" "Place" "all" "meanRT" 747.6
"119" "2-Back" "Place" "all" "medianRT" 959
"120" "2-Back" "Place" "all" "meanRT" 1062.52631578947
"121" "0-Back" "Body" "all" "medianRT" 720
"122" "0-Back" "Body" "all" "meanRT" 705.823529411765
"123" "2-Back" "Body" "all" "medianRT" 972
"124" "2-Back" "Body" "all" "meanRT" 1076.63157894737
"125" "0-Back" "Tools" "all" "medianRT" 721
"126" "0-Back" "Tools" "all" "meanRT" 780.222222222222
"127" "2-Back" "Tools" "all" "medianRT" 972
"128" "2-Back" "Tools" "all" "meanRT" 1096.89473684211
"129" "0-Back" "Face" "target" "medianRT" 748
"130" "0-Back" "Face" "target" "meanRT" 723.5
"131" "0-Back" "Face" "lure" "medianRT" 565.5
"132" "0-Back" "Face" "lure" "meanRT" 604
"133" "0-Back" "Face" "nonlure" "medianRT" 596.5
"134" "0-Back" "Face" "nonlure" "meanRT" 678
"135" "0-Back" "Face" "nontarget" "medianRT" 581
"136" "0-Back" "Face" "nontarget" "meanRT" 650.25
"137" "2-Back" "Face" "target" "medianRT" 976.5
"138" "2-Back" "Face" "target" "meanRT" 999.5
"139" "2-Back" "Face" "lure" "medianRT" 853
"140" "2-Back" "Face" "lure" "meanRT" 901.5
"141" "2-Back" "Face" "nonlure" "medianRT" 883
"142" "2-Back" "Face" "nonlure" "meanRT" 968.888888888889
"143" "2-Back" "Face" "nontarget" "medianRT" 883
"144" "2-Back" "Face" "nontarget" "meanRT" 948.153846153846
"145" "0-Back" "Place" "target" "medianRT" 588.5
"146" "0-Back" "Place" "target" "meanRT" 598.75
"147" "0-Back" "Place" "lure" "medianRT" 760
"148" "0-Back" "Place" "lure" "meanRT" 849
"149" "0-Back" "Place" "nonlure" "medianRT" 666
"150" "0-Back" "Place" "nonlure" "meanRT" 746.3
"151" "0-Back" "Place" "nontarget" "medianRT" 666
"152" "0-Back" "Place" "nontarget" "meanRT" 784.8125
"153" "2-Back" "Place" "target" "medianRT" 932.5
"154" "2-Back" "Place" "target" "meanRT" 1072.25
"155" "2-Back" "Place" "lure" "medianRT" 961.5
"156" "2-Back" "Place" "lure" "meanRT" 1070
"157" "2-Back" "Place" "nonlure" "medianRT" 1016
"158" "2-Back" "Place" "nonlure" "meanRT" 1105.91666666667
"159" "2-Back" "Place" "nontarget" "medianRT" 1016
"160" "2-Back" "Place" "nontarget" "meanRT" 1096.9375
"161" "0-Back" "Body" "target" "medianRT" 753
"162" "0-Back" "Body" "target" "meanRT" 795.666666666667
"163" "0-Back" "Body" "lure" "medianRT" 675.5
"164" "0-Back" "Body" "lure" "meanRT" 678.5
"165" "0-Back" "Body" "nonlure" "medianRT" 711
"166" "0-Back" "Body" "nonlure" "meanRT" 696.777777777778
"167" "0-Back" "Body" "nontarget" "medianRT" 711
"168" "0-Back" "Body" "nontarget" "meanRT" 689.466666666667
"169" "2-Back" "Body" "target" "medianRT" 928
"170" "2-Back" "Body" "target" "meanRT" 892.5
"171" "2-Back" "Body" "lure" "medianRT" 1218
"172" "2-Back" "Body" "lure" "meanRT" 1215.75
"173" "2-Back" "Body" "nonlure" "medianRT" 937.5
"174" "2-Back" "Body" "nonlure" "meanRT" 1073
"175" "2-Back" "Body" "nontarget" "medianRT" 937.5
"176" "2-Back" "Body" "nontarget" "meanRT" 1108.6875
"177" "0-Back" "Tools" "target" "medianRT" 812
"178" "0-Back" "Tools" "target" "meanRT" 824
"179" "0-Back" "Tools" "lure" "medianRT" 671
"180" "0-Back" "Tools" "lure" "meanRT" 735.166666666667
"181" "0-Back" "Tools" "nonlure" "medianRT" 718.5
"182" "0-Back" "Tools" "nonlure" "meanRT" 797.3
"183" "0-Back" "Tools" "nontarget" "medianRT" 689.5
"184" "0-Back" "Tools" "nontarget" "meanRT" 774
"185" "2-Back" "Tools" "target" "medianRT" 933
"186" "2-Back" "Tools" "target" "meanRT" 1117.75
"187" "2-Back" "Tools" "lure" "medianRT" 1070
"188" "2-Back" "Tools" "lure" "meanRT" 1217.75
"189" "2-Back" "Tools" "nonlure" "medianRT" 879
"190" "2-Back" "Tools" "nonlure" "meanRT" 1045.36363636364
"191" "2-Back" "Tools" "nontarget" "medianRT" 1027
"192" "2-Back" "Tools" "nontarget" "meanRT" 1091.33333333333
