"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.89375
"2" "all" "Face&Place" "all" "propcorrect" 0.9625
"3" "0-Back" "Face&Place" "all" "propcorrect" 1
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.925
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 1
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 1
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.625
"10" "2-Back" "Face&Place" "lure" "propcorrect" 1
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 1
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 1
"13" "all" "Face" "all" "propcorrect" 0.975
"14" "all" "Place" "all" "propcorrect" 0.95
"15" "all" "Body" "all" "propcorrect" 0.8
"16" "all" "Tools" "all" "propcorrect" 0.85
"17" "0-Back" "all" "all" "propcorrect" 0.9625
"18" "2-Back" "all" "all" "propcorrect" 0.825
"19" "0-Back" "Face" "all" "propcorrect" 1
"20" "2-Back" "Face" "all" "propcorrect" 0.95
"21" "0-Back" "Place" "all" "propcorrect" 1
"22" "2-Back" "Place" "all" "propcorrect" 0.9
"23" "0-Back" "Body" "all" "propcorrect" 0.9
"24" "2-Back" "Body" "all" "propcorrect" 0.7
"25" "0-Back" "Tools" "all" "propcorrect" 0.95
"26" "2-Back" "Tools" "all" "propcorrect" 0.75
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 1
"31" "2-Back" "Face" "target" "propcorrect" 0.75
"32" "2-Back" "Face" "lure" "propcorrect" 1
"33" "2-Back" "Face" "nonlure" "propcorrect" 1
"34" "2-Back" "Face" "nontarget" "propcorrect" 1
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 0.5
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 1
"42" "2-Back" "Place" "nontarget" "propcorrect" 1
"43" "0-Back" "Body" "target" "propcorrect" 0.75
"44" "0-Back" "Body" "lure" "propcorrect" 0.833333333333333
"45" "0-Back" "Body" "nonlure" "propcorrect" 1
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.9375
"47" "2-Back" "Body" "target" "propcorrect" 0.25
"48" "2-Back" "Body" "lure" "propcorrect" 0.5
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.916666666666667
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.8125
"51" "0-Back" "Tools" "target" "propcorrect" 0.75
"52" "0-Back" "Tools" "lure" "propcorrect" 1
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 1
"55" "2-Back" "Tools" "target" "propcorrect" 0.5
"56" "2-Back" "Tools" "lure" "propcorrect" 0.5
"57" "2-Back" "Tools" "nonlure" "propcorrect" 0.916666666666667
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.8125
"59" "all" "all" NA "dprime" 2.04337414955969
"60" "all" "Face&Place" NA "dprime" 3.24398828334092
"61" "0-Back" "Face&Place" NA "dprime" 3.75932557091538
"62" "2-Back" "Face&Place" NA "dprime" 2.44832289995484
"63" "0-Back" "all" NA "dprime" 3.04311500385251
"64" "2-Back" "all" NA "dprime" 1.2815515655446
"65" "all" "Face" NA "dprime" 3.13352831899403
"66" "all" "Place" NA "dprime" 2.75556255074211
"67" "all" "Body" NA "dprime" 1.09680356209351
"68" "all" "Tools" NA "dprime" 1.52997000241383
"69" "0-Back" "Face" NA "dprime" 3.17106152587803
"70" "2-Back" "Face" NA "dprime" 2.41391047304147
"71" "0-Back" "Place" NA "dprime" 3.17106152587803
"72" "2-Back" "Place" NA "dprime" 1.88950996033343
"73" "0-Back" "Body" NA "dprime" 1.8761027526387
"74" "2-Back" "Body" NA "dprime" 0.29639157562434
"75" "0-Back" "Tools" NA "dprime" 2.41391047304147
"76" "2-Back" "Tools" NA "dprime" 0.82079208833238
"77" "all" "all" "all" "medianRT" 792
"78" "all" "all" "all" "meanRT" 818.972027972028
"79" "all" "Face&Place" "all" "medianRT" 792
"80" "all" "Face&Place" "all" "meanRT" 812.064935064935
"81" "0-Back" "Face&Place" "all" "medianRT" 637.5
"82" "0-Back" "Face&Place" "all" "meanRT" 718
"83" "2-Back" "Face&Place" "all" "medianRT" 839
"84" "2-Back" "Face&Place" "all" "meanRT" 913.756756756757
"85" "0-Back" "Face&Place" "target" "medianRT" 679.5
"86" "0-Back" "Face&Place" "target" "meanRT" 726.375
"87" "0-Back" "Face&Place" "lure" "medianRT" 607.5
"88" "0-Back" "Face&Place" "lure" "meanRT" 762.833333333333
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 624.5
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 687.75
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 617
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 715.90625
"93" "2-Back" "Face&Place" "target" "medianRT" 794
"94" "2-Back" "Face&Place" "target" "meanRT" 897
"95" "2-Back" "Face&Place" "lure" "medianRT" 904.5
"96" "2-Back" "Face&Place" "lure" "meanRT" 967.125
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 834
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 899.458333333333
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 844
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 916.375
"101" "all" "Face" "all" "medianRT" 765
"102" "all" "Face" "all" "meanRT" 805.615384615385
"103" "all" "Place" "all" "medianRT" 797.5
"104" "all" "Place" "all" "meanRT" 818.684210526316
"105" "all" "Body" "all" "medianRT" 813
"106" "all" "Body" "all" "meanRT" 839.15625
"107" "all" "Tools" "all" "medianRT" 764.5
"108" "all" "Tools" "all" "meanRT" 815.617647058824
"109" "0-Back" "all" "all" "medianRT" 657
"110" "0-Back" "all" "all" "meanRT" 726.909090909091
"111" "2-Back" "all" "all" "medianRT" 870.5
"112" "2-Back" "all" "all" "meanRT" 926.378787878788
"113" "0-Back" "Face" "all" "medianRT" 603.5
"114" "0-Back" "Face" "all" "meanRT" 692.15
"115" "2-Back" "Face" "all" "medianRT" 839
"116" "2-Back" "Face" "all" "meanRT" 925.052631578947
"117" "0-Back" "Place" "all" "medianRT" 669
"118" "0-Back" "Place" "all" "meanRT" 743.85
"119" "2-Back" "Place" "all" "medianRT" 840.5
"120" "2-Back" "Place" "all" "meanRT" 901.833333333333
"121" "0-Back" "Body" "all" "medianRT" 751.5
"122" "0-Back" "Body" "all" "meanRT" 760.166666666667
"123" "2-Back" "Body" "all" "medianRT" 966.5
"124" "2-Back" "Body" "all" "meanRT" 940.714285714286
"125" "0-Back" "Tools" "all" "medianRT" 650
"126" "0-Back" "Tools" "all" "meanRT" 714.157894736842
"127" "2-Back" "Tools" "all" "medianRT" 855
"128" "2-Back" "Tools" "all" "meanRT" 944.133333333333
"129" "0-Back" "Face" "target" "medianRT" 661.5
"130" "0-Back" "Face" "target" "meanRT" 641.75
"131" "0-Back" "Face" "lure" "medianRT" 574.5
"132" "0-Back" "Face" "lure" "meanRT" 802.166666666667
"133" "0-Back" "Face" "nonlure" "medianRT" 597.5
"134" "0-Back" "Face" "nonlure" "meanRT" 646.3
"135" "0-Back" "Face" "nontarget" "medianRT" 589
"136" "0-Back" "Face" "nontarget" "meanRT" 704.75
"137" "2-Back" "Face" "target" "medianRT" 1000.5
"138" "2-Back" "Face" "target" "meanRT" 1048.25
"139" "2-Back" "Face" "lure" "medianRT" 1013.5
"140" "2-Back" "Face" "lure" "meanRT" 1068.75
"141" "2-Back" "Face" "nonlure" "medianRT" 818.5
"142" "2-Back" "Face" "nonlure" "meanRT" 880
"143" "2-Back" "Face" "nontarget" "medianRT" 869
"144" "2-Back" "Face" "nontarget" "meanRT" 927.1875
"145" "0-Back" "Place" "target" "medianRT" 711.5
"146" "0-Back" "Place" "target" "meanRT" 811
"147" "0-Back" "Place" "lure" "medianRT" 619
"148" "0-Back" "Place" "lure" "meanRT" 723.5
"149" "0-Back" "Place" "nonlure" "medianRT" 712.5
"150" "0-Back" "Place" "nonlure" "meanRT" 729.2
"151" "0-Back" "Place" "nontarget" "medianRT" 643.5
"152" "0-Back" "Place" "nontarget" "meanRT" 727.0625
"153" "2-Back" "Place" "target" "medianRT" 1189
"154" "2-Back" "Place" "target" "meanRT" 1182.75
"155" "2-Back" "Place" "lure" "medianRT" 828
"156" "2-Back" "Place" "lure" "meanRT" 865.5
"157" "2-Back" "Place" "nonlure" "medianRT" 840.5
"158" "2-Back" "Place" "nonlure" "meanRT" 918.916666666667
"159" "2-Back" "Place" "nontarget" "medianRT" 840.5
"160" "2-Back" "Place" "nontarget" "meanRT" 905.5625
"161" "0-Back" "Body" "target" "medianRT" 741
"162" "0-Back" "Body" "target" "meanRT" 711
"163" "0-Back" "Body" "lure" "medianRT" 717
"164" "0-Back" "Body" "lure" "meanRT" 827.5
"165" "0-Back" "Body" "nonlure" "medianRT" 768
"166" "0-Back" "Body" "nonlure" "meanRT" 756.4
"167" "0-Back" "Body" "nontarget" "medianRT" 768
"168" "0-Back" "Body" "nontarget" "meanRT" 783.0625
"169" "2-Back" "Body" "target" "medianRT" 1401
"170" "2-Back" "Body" "target" "meanRT" 1401.75
"171" "2-Back" "Body" "lure" "medianRT" 926
"172" "2-Back" "Body" "lure" "meanRT" 934.333333333333
"173" "2-Back" "Body" "nonlure" "medianRT" 1029.5
"174" "2-Back" "Body" "nonlure" "meanRT" 956.25
"175" "2-Back" "Body" "nontarget" "medianRT" 975
"176" "2-Back" "Body" "nontarget" "meanRT" 951.866666666667
"177" "0-Back" "Tools" "target" "medianRT" 766
"178" "0-Back" "Tools" "target" "meanRT" 742.666666666667
"179" "0-Back" "Tools" "lure" "medianRT" 701.5
"180" "0-Back" "Tools" "lure" "meanRT" 686.666666666667
"181" "0-Back" "Tools" "nonlure" "medianRT" 627
"182" "0-Back" "Tools" "nonlure" "meanRT" 722.1
"183" "0-Back" "Tools" "nontarget" "medianRT" 648
