"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.875
"2" "all" "Face&Place" "all" "propcorrect" 0.925
"3" "0-Back" "Face&Place" "all" "propcorrect" 0.925
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.925
"5" "0-Back" "Face&Place" "target" "propcorrect" 0.75
"6" "0-Back" "Face&Place" "lure" "propcorrect" 0.916666666666667
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 1
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 0.96875
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.875
"10" "2-Back" "Face&Place" "lure" "propcorrect" 1
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.916666666666667
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.9375
"13" "all" "Face" "all" "propcorrect" 0.925
"14" "all" "Place" "all" "propcorrect" 0.925
"15" "all" "Body" "all" "propcorrect" 0.875
"16" "all" "Tools" "all" "propcorrect" 0.775
"17" "0-Back" "all" "all" "propcorrect" 0.8625
"18" "2-Back" "all" "all" "propcorrect" 0.8875
"19" "0-Back" "Face" "all" "propcorrect" 0.85
"20" "2-Back" "Face" "all" "propcorrect" 1
"21" "0-Back" "Place" "all" "propcorrect" 1
"22" "2-Back" "Place" "all" "propcorrect" 0.85
"23" "0-Back" "Body" "all" "propcorrect" 0.9
"24" "2-Back" "Body" "all" "propcorrect" 0.85
"25" "0-Back" "Tools" "all" "propcorrect" 0.7
"26" "2-Back" "Tools" "all" "propcorrect" 0.85
"27" "0-Back" "Face" "target" "propcorrect" 0.5
"28" "0-Back" "Face" "lure" "propcorrect" 0.833333333333333
"29" "0-Back" "Face" "nonlure" "propcorrect" 1
"30" "0-Back" "Face" "nontarget" "propcorrect" 0.9375
"31" "2-Back" "Face" "target" "propcorrect" 1
"32" "2-Back" "Face" "lure" "propcorrect" 1
"33" "2-Back" "Face" "nonlure" "propcorrect" 1
"34" "2-Back" "Face" "nontarget" "propcorrect" 1
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 1
"37" "0-Back" "Place" "nonlure" "propcorrect" 1
"38" "0-Back" "Place" "nontarget" "propcorrect" 1
"39" "2-Back" "Place" "target" "propcorrect" 0.75
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 0.833333333333333
"42" "2-Back" "Place" "nontarget" "propcorrect" 0.875
"43" "0-Back" "Body" "target" "propcorrect" 0.75
"44" "0-Back" "Body" "lure" "propcorrect" 0.833333333333333
"45" "0-Back" "Body" "nonlure" "propcorrect" 1
"46" "0-Back" "Body" "nontarget" "propcorrect" 0.9375
"47" "2-Back" "Body" "target" "propcorrect" 0.75
"48" "2-Back" "Body" "lure" "propcorrect" 0.5
"49" "2-Back" "Body" "nonlure" "propcorrect" 1
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.875
"51" "0-Back" "Tools" "target" "propcorrect" 0.25
"52" "0-Back" "Tools" "lure" "propcorrect" 0.666666666666667
"53" "0-Back" "Tools" "nonlure" "propcorrect" 0.9
"54" "0-Back" "Tools" "nontarget" "propcorrect" 0.8125
"55" "2-Back" "Tools" "target" "propcorrect" 1
"56" "2-Back" "Tools" "lure" "propcorrect" 0.25
"57" "2-Back" "Tools" "nonlure" "propcorrect" 1
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.8125
"59" "all" "all" NA "dprime" 1.95026133588281
"60" "all" "Face&Place" NA "dprime" 2.42944477088387
"61" "0-Back" "Face&Place" NA "dprime" 2.28007742743468
"62" "2-Back" "Face&Place" NA "dprime" 2.40162172578808
"63" "0-Back" "all" NA "dprime" 1.67398660465364
"64" "2-Back" "all" NA "dprime" 2.2475111002709
"65" "all" "Face" NA "dprime" 2.28007742743468
"66" "all" "Place" NA "dprime" 2.40162172578808
"67" "all" "Body" NA "dprime" 1.8372096532011
"68" "all" "Tools" NA "dprime" 1.1347111813372
"69" "0-Back" "Face" NA "dprime" 1.35170223993066
"70" "2-Back" "Face" NA "dprime" 3.17106152587803
"71" "0-Back" "Place" NA "dprime" 3.17106152587803
"72" "2-Back" "Place" NA "dprime" 1.57353191067201
"73" "0-Back" "Body" NA "dprime" 1.8761027526387
"74" "2-Back" "Body" NA "dprime" 1.57353191067201
"75" "0-Back" "Tools" NA "dprime" 0.29639157562434
"76" "2-Back" "Tools" NA "dprime" 2.10234365387698
"77" "all" "all" "all" "medianRT" 846.5
"78" "all" "all" "all" "meanRT" 878.757142857143
"79" "all" "Face&Place" "all" "medianRT" 840
"80" "all" "Face&Place" "all" "meanRT" 881.013513513514
"81" "0-Back" "Face&Place" "all" "medianRT" 732
"82" "0-Back" "Face&Place" "all" "meanRT" 775.216216216216
"83" "2-Back" "Face&Place" "all" "medianRT" 938
"84" "2-Back" "Face&Place" "all" "meanRT" 986.810810810811
"85" "0-Back" "Face&Place" "target" "medianRT" 808.5
"86" "0-Back" "Face&Place" "target" "meanRT" 825.166666666667
"87" "0-Back" "Face&Place" "lure" "medianRT" 809
"88" "0-Back" "Face&Place" "lure" "meanRT" 761.818181818182
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 728.5
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 767.6
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 732
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 765.548387096774
"93" "2-Back" "Face&Place" "target" "medianRT" 928
"94" "2-Back" "Face&Place" "target" "meanRT" 948.857142857143
"95" "2-Back" "Face&Place" "lure" "medianRT" 1022.5
"96" "2-Back" "Face&Place" "lure" "meanRT" 1023.625
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 939
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 985.5
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 971
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 995.666666666667
"101" "all" "Face" "all" "medianRT" 786
"102" "all" "Face" "all" "meanRT" 826.189189189189
"103" "all" "Place" "all" "medianRT" 907
"104" "all" "Place" "all" "meanRT" 935.837837837838
"105" "all" "Body" "all" "medianRT" 905
"106" "all" "Body" "all" "meanRT" 924.657142857143
"107" "all" "Tools" "all" "medianRT" 748
"108" "all" "Tools" "all" "meanRT" 821.548387096774
"109" "0-Back" "all" "all" "medianRT" 775
"110" "0-Back" "all" "all" "meanRT" 816.927536231884
"111" "2-Back" "all" "all" "medianRT" 907
"112" "2-Back" "all" "all" "meanRT" 938.845070422535
"113" "0-Back" "Face" "all" "medianRT" 732
"114" "0-Back" "Face" "all" "meanRT" 735.882352941176
"115" "2-Back" "Face" "all" "medianRT" 878
"116" "2-Back" "Face" "all" "meanRT" 902.95
"117" "0-Back" "Place" "all" "medianRT" 767
"118" "0-Back" "Place" "all" "meanRT" 808.65
"119" "2-Back" "Place" "all" "medianRT" 1034
"120" "2-Back" "Place" "all" "meanRT" 1085.47058823529
"121" "0-Back" "Body" "all" "medianRT" 896.5
"122" "0-Back" "Body" "all" "meanRT" 917.055555555556
"123" "2-Back" "Body" "all" "medianRT" 911
"124" "2-Back" "Body" "all" "meanRT" 932.705882352941
"125" "0-Back" "Tools" "all" "medianRT" 717
"126" "0-Back" "Tools" "all" "meanRT" 798.428571428571
"127" "2-Back" "Tools" "all" "medianRT" 775
"128" "2-Back" "Tools" "all" "meanRT" 840.588235294118
"129" "0-Back" "Face" "target" "medianRT" 882.5
"130" "0-Back" "Face" "target" "meanRT" 880.25
"131" "0-Back" "Face" "lure" "medianRT" 605
"132" "0-Back" "Face" "lure" "meanRT" 604.166666666667
"133" "0-Back" "Face" "nonlure" "medianRT" 735.5
"134" "0-Back" "Face" "nonlure" "meanRT" 745.9
"135" "0-Back" "Face" "nontarget" "medianRT" 698.5
"136" "0-Back" "Face" "nontarget" "meanRT" 692.75
"137" "2-Back" "Face" "target" "medianRT" 921.5
"138" "2-Back" "Face" "target" "meanRT" 912.75
"139" "2-Back" "Face" "lure" "medianRT" 869
"140" "2-Back" "Face" "lure" "meanRT" 950
"141" "2-Back" "Face" "nonlure" "medianRT" 834.5
"142" "2-Back" "Face" "nonlure" "meanRT" 884
"143" "2-Back" "Face" "nontarget" "medianRT" 834.5
"144" "2-Back" "Face" "nontarget" "meanRT" 900.5
"145" "0-Back" "Place" "target" "medianRT" 661
"146" "0-Back" "Place" "target" "meanRT" 728
"147" "0-Back" "Place" "lure" "medianRT" 917
"148" "0-Back" "Place" "lure" "meanRT" 894.666666666667
"149" "0-Back" "Place" "nonlure" "medianRT" 710.5
"150" "0-Back" "Place" "nonlure" "meanRT" 789.3
"151" "0-Back" "Place" "nontarget" "medianRT" 823
"152" "0-Back" "Place" "nontarget" "meanRT" 828.8125
"153" "2-Back" "Place" "target" "medianRT" 1112
"154" "2-Back" "Place" "target" "meanRT" 1071.75
"155" "2-Back" "Place" "lure" "medianRT" 1027.5
"156" "2-Back" "Place" "lure" "meanRT" 1097.25
"157" "2-Back" "Place" "nonlure" "medianRT" 1109.5
"158" "2-Back" "Place" "nonlure" "meanRT" 1107.3
"159" "2-Back" "Place" "nontarget" "medianRT" 1064
"160" "2-Back" "Place" "nontarget" "meanRT" 1104.42857142857
"161" "0-Back" "Body" "target" "medianRT" 1036.5
"162" "0-Back" "Body" "target" "meanRT" 1057.75
"163" "0-Back" "Body" "lure" "medianRT" 860.5
"164" "0-Back" "Body" "lure" "meanRT" 876.166666666667
"165" "0-Back" "Body" "nonlure" "medianRT" 896.5
"166" "0-Back" "Body" "nonlure" "meanRT" 922.7
"167" "0-Back" "Body" "nontarget" "medianRT" 879.5
"168" "0-Back" "Body" "nontarget" "meanRT" 905.25
"169" "2-Back" "Body" "target" "medianRT" 922.5
"170" "2-Back" "Body" "target" "meanRT" 987.5
"171" "2-Back" "Body" "lure" "medianRT" 749.5
"172" "2-Back" "Body" "lure" "meanRT" 751.5
"173" "2-Back" "Body" "nonlure" "medianRT" 959
"174" "2-Back" "Body" "nonlure" "meanRT" 981.166666666667
"175" "2-Back" "Body" "nontarget" "medianRT" 899.5
"176" "2-Back" "Body" "nontarget" "meanRT" 923.75
"177" "0-Back" "Tools" "target" "medianRT" 718
"178" "0-Back" "Tools" "target" "meanRT" 798.25
"179" "0-Back" "Tools" "lure" "medianRT" 699
"180" "0-Back" "Tools" "lure" "meanRT" 656.5
"181" "0-Back" "Tools" "nonlure" "medianRT" 790
"182" "0-Back" "Tools" "nonlure" "meanRT" 891.2
"183" "0-Back" "Tools" "nontarget" "medianRT" 742
"184" "0-Back" "Tools" "nontarget" "meanRT" 803.1875
"185" "2-Back" "Tools" "target" "medianRT" 758.5
"186" "2-Back" "Tools" "target" "meanRT" 827.75
"187" "2-Back" "Tools" "lure" "medianRT" 979
"188" "2-Back" "Tools" "lure" "meanRT" 975
"189" "2-Back" "Tools" "nonlure" "medianRT" 813
"190" "2-Back" "Tools" "nonlure" "meanRT" 814.666666666667
"191" "2-Back" "Tools" "nontarget" "medianRT" 878.5
"192" "2-Back" "Tools" "nontarget" "meanRT" 854.75
