"load.type" "cat.type" "trial.type" "stat.name" "stat.value"
"1" "all" "all" "all" "propcorrect" 0.9
"2" "all" "Face&Place" "all" "propcorrect" 0.8875
"3" "0-Back" "Face&Place" "all" "propcorrect" 0.925
"4" "2-Back" "Face&Place" "all" "propcorrect" 0.85
"5" "0-Back" "Face&Place" "target" "propcorrect" 1
"6" "0-Back" "Face&Place" "lure" "propcorrect" 0.916666666666667
"7" "0-Back" "Face&Place" "nonlure" "propcorrect" 0.9
"8" "0-Back" "Face&Place" "nontarget" "propcorrect" 0.90625
"9" "2-Back" "Face&Place" "target" "propcorrect" 0.75
"10" "2-Back" "Face&Place" "lure" "propcorrect" 0.875
"11" "2-Back" "Face&Place" "nonlure" "propcorrect" 0.875
"12" "2-Back" "Face&Place" "nontarget" "propcorrect" 0.875
"13" "all" "Face" "all" "propcorrect" 0.875
"14" "all" "Place" "all" "propcorrect" 0.9
"15" "all" "Body" "all" "propcorrect" 0.9
"16" "all" "Tools" "all" "propcorrect" 0.925
"17" "0-Back" "all" "all" "propcorrect" 0.9625
"18" "2-Back" "all" "all" "propcorrect" 0.8375
"19" "0-Back" "Face" "all" "propcorrect" 0.95
"20" "2-Back" "Face" "all" "propcorrect" 0.8
"21" "0-Back" "Place" "all" "propcorrect" 0.9
"22" "2-Back" "Place" "all" "propcorrect" 0.9
"23" "0-Back" "Body" "all" "propcorrect" 1
"24" "2-Back" "Body" "all" "propcorrect" 0.8
"25" "0-Back" "Tools" "all" "propcorrect" 1
"26" "2-Back" "Tools" "all" "propcorrect" 0.85
"27" "0-Back" "Face" "target" "propcorrect" 1
"28" "0-Back" "Face" "lure" "propcorrect" 1
"29" "0-Back" "Face" "nonlure" "propcorrect" 0.9
"30" "0-Back" "Face" "nontarget" "propcorrect" 0.9375
"31" "2-Back" "Face" "target" "propcorrect" 0.75
"32" "2-Back" "Face" "lure" "propcorrect" 0.75
"33" "2-Back" "Face" "nonlure" "propcorrect" 0.833333333333333
"34" "2-Back" "Face" "nontarget" "propcorrect" 0.8125
"35" "0-Back" "Place" "target" "propcorrect" 1
"36" "0-Back" "Place" "lure" "propcorrect" 0.833333333333333
"37" "0-Back" "Place" "nonlure" "propcorrect" 0.9
"38" "0-Back" "Place" "nontarget" "propcorrect" 0.875
"39" "2-Back" "Place" "target" "propcorrect" 0.75
"40" "2-Back" "Place" "lure" "propcorrect" 1
"41" "2-Back" "Place" "nonlure" "propcorrect" 0.916666666666667
"42" "2-Back" "Place" "nontarget" "propcorrect" 0.9375
"43" "0-Back" "Body" "target" "propcorrect" 1
"44" "0-Back" "Body" "lure" "propcorrect" 1
"45" "0-Back" "Body" "nonlure" "propcorrect" 1
"46" "0-Back" "Body" "nontarget" "propcorrect" 1
"47" "2-Back" "Body" "target" "propcorrect" 0.5
"48" "2-Back" "Body" "lure" "propcorrect" 0.75
"49" "2-Back" "Body" "nonlure" "propcorrect" 0.916666666666667
"50" "2-Back" "Body" "nontarget" "propcorrect" 0.875
"51" "0-Back" "Tools" "target" "propcorrect" 1
"52" "0-Back" "Tools" "lure" "propcorrect" 1
"53" "0-Back" "Tools" "nonlure" "propcorrect" 1
"54" "0-Back" "Tools" "nontarget" "propcorrect" 1
"55" "2-Back" "Tools" "target" "propcorrect" 1
"56" "2-Back" "Tools" "lure" "propcorrect" 0.5
"57" "2-Back" "Tools" "nonlure" "propcorrect" 0.916666666666667
"58" "2-Back" "Tools" "nontarget" "propcorrect" 0.8125
"59" "all" "all" NA "dprime" 2.39622759153185
"60" "all" "Face&Place" NA "dprime" 2.2475111002709
"61" "0-Back" "Face&Place" NA "dprime" 2.84097267337437
"62" "2-Back" "Face&Place" NA "dprime" 1.68625935994329
"63" "0-Back" "all" NA "dprime" 3.49816264288492
"64" "2-Back" "all" NA "dprime" 1.68197687716745
"65" "all" "Face" NA "dprime" 2.06422512819521
"66" "all" "Place" NA "dprime" 2.21517542145303
"67" "all" "Body" NA "dprime" 2.02365595753616
"68" "all" "Tools" NA "dprime" 2.84097267337437
"69" "0-Back" "Face" NA "dprime" 2.63325380547526
"70" "2-Back" "Face" NA "dprime" 1.34519260104042
"71" "0-Back" "Place" NA "dprime" 2.33068296350857
"72" "2-Back" "Place" NA "dprime" 1.8761027526387
"73" "0-Back" "Body" NA "dprime" 3.17106152587803
"74" "2-Back" "Body" NA "dprime" 1.04913139796397
"75" "0-Back" "Tools" NA "dprime" 3.17106152587803
"76" "2-Back" "Tools" NA "dprime" 2.10234365387698
"77" "all" "all" "all" "medianRT" 921
"78" "all" "all" "all" "meanRT" 940.076388888889
"79" "all" "Face&Place" "all" "medianRT" 949
"80" "all" "Face&Place" "all" "meanRT" 987.070422535211
"81" "0-Back" "Face&Place" "all" "medianRT" 894
"82" "0-Back" "Face&Place" "all" "meanRT" 912.405405405405
"83" "2-Back" "Face&Place" "all" "medianRT" 1013.5
"84" "2-Back" "Face&Place" "all" "meanRT" 1068.32352941176
"85" "0-Back" "Face&Place" "target" "medianRT" 786
"86" "0-Back" "Face&Place" "target" "meanRT" 889.125
"87" "0-Back" "Face&Place" "lure" "medianRT" 979
"88" "0-Back" "Face&Place" "lure" "meanRT" 989.454545454545
"89" "0-Back" "Face&Place" "nonlure" "medianRT" 885.5
"90" "0-Back" "Face&Place" "nonlure" "meanRT" 875.666666666667
"91" "0-Back" "Face&Place" "nontarget" "medianRT" 906
"92" "0-Back" "Face&Place" "nontarget" "meanRT" 918.827586206897
"93" "2-Back" "Face&Place" "target" "medianRT" 1080.5
"94" "2-Back" "Face&Place" "target" "meanRT" 1067.5
"95" "2-Back" "Face&Place" "lure" "medianRT" 1136
"96" "2-Back" "Face&Place" "lure" "meanRT" 1212.42857142857
"97" "2-Back" "Face&Place" "nonlure" "medianRT" 949
"98" "2-Back" "Face&Place" "nonlure" "meanRT" 1020.52380952381
"99" "2-Back" "Face&Place" "nontarget" "medianRT" 1001.5
"100" "2-Back" "Face&Place" "nontarget" "meanRT" 1068.5
"101" "all" "Face" "all" "medianRT" 866
"102" "all" "Face" "all" "meanRT" 897.285714285714
"103" "all" "Place" "all" "medianRT" 1026
"104" "all" "Place" "all" "meanRT" 1074.36111111111
"105" "all" "Body" "all" "medianRT" 923.5
"106" "all" "Body" "all" "meanRT" 949.277777777778
"107" "all" "Tools" "all" "medianRT" 825
"108" "all" "Tools" "all" "meanRT" 840.945945945946
"109" "0-Back" "all" "all" "medianRT" 863
"110" "0-Back" "all" "all" "meanRT" 876.298701298701
"111" "2-Back" "all" "all" "medianRT" 995
"112" "2-Back" "all" "all" "meanRT" 1013.37313432836
"113" "0-Back" "Face" "all" "medianRT" 743
"114" "0-Back" "Face" "all" "meanRT" 796.473684210526
"115" "2-Back" "Face" "all" "medianRT" 996.5
"116" "2-Back" "Face" "all" "meanRT" 1017
"117" "0-Back" "Place" "all" "medianRT" 1013.5
"118" "0-Back" "Place" "all" "meanRT" 1034.77777777778
"119" "2-Back" "Place" "all" "medianRT" 1059.5
"120" "2-Back" "Place" "all" "meanRT" 1113.94444444444
"121" "0-Back" "Body" "all" "medianRT" 817
"122" "0-Back" "Body" "all" "meanRT" 859.6
"123" "2-Back" "Body" "all" "medianRT" 1062.5
"124" "2-Back" "Body" "all" "meanRT" 1061.375
"125" "0-Back" "Tools" "all" "medianRT" 802
"126" "0-Back" "Tools" "all" "meanRT" 826.2
"127" "2-Back" "Tools" "all" "medianRT" 892
"128" "2-Back" "Tools" "all" "meanRT" 858.294117647059
"129" "0-Back" "Face" "target" "medianRT" 718.5
"130" "0-Back" "Face" "target" "meanRT" 761.5
"131" "0-Back" "Face" "lure" "medianRT" 817
"132" "0-Back" "Face" "lure" "meanRT" 873.333333333333
"133" "0-Back" "Face" "nonlure" "medianRT" 740
"134" "0-Back" "Face" "nonlure" "meanRT" 760.777777777778
"135" "0-Back" "Face" "nontarget" "medianRT" 768
"136" "0-Back" "Face" "nontarget" "meanRT" 805.8
"137" "2-Back" "Face" "target" "medianRT" 1080.5
"138" "2-Back" "Face" "target" "meanRT" 1016
"139" "2-Back" "Face" "lure" "medianRT" 1164.5
"140" "2-Back" "Face" "lure" "meanRT" 1142
"141" "2-Back" "Face" "nonlure" "medianRT" 910
"142" "2-Back" "Face" "nonlure" "meanRT" 1006.2
"143" "2-Back" "Face" "nontarget" "medianRT" 996.5
"144" "2-Back" "Face" "nontarget" "meanRT" 1045
"145" "0-Back" "Place" "target" "medianRT" 945
"146" "0-Back" "Place" "target" "meanRT" 1016.75
"147" "0-Back" "Place" "lure" "medianRT" 1103
"148" "0-Back" "Place" "lure" "meanRT" 1127
"149" "0-Back" "Place" "nonlure" "medianRT" 977.5
"150" "0-Back" "Place" "nonlure" "meanRT" 1001.6
"151" "0-Back" "Place" "nontarget" "medianRT" 1026
"152" "0-Back" "Place" "nontarget" "meanRT" 1048.625
"153" "2-Back" "Place" "target" "medianRT" 1302
"154" "2-Back" "Place" "target" "meanRT" 1350.75
"155" "2-Back" "Place" "lure" "medianRT" 1150
"156" "2-Back" "Place" "lure" "meanRT" 1286.5
"157" "2-Back" "Place" "nonlure" "medianRT" 979
"158" "2-Back" "Place" "nonlure" "meanRT" 1033.54545454545
"159" "2-Back" "Place" "nontarget" "medianRT" 1047
"160" "2-Back" "Place" "nontarget" "meanRT" 1101
"161" "0-Back" "Body" "target" "medianRT" 870.5
"162" "0-Back" "Body" "target" "meanRT" 961.75
"163" "0-Back" "Body" "lure" "medianRT" 876
"164" "0-Back" "Body" "lure" "meanRT" 875.666666666667
"165" "0-Back" "Body" "nonlure" "medianRT" 748.5
"166" "0-Back" "Body" "nonlure" "meanRT" 809.1
"167" "0-Back" "Body" "nontarget" "medianRT" 817
"168" "0-Back" "Body" "nontarget" "meanRT" 834.0625
"169" "2-Back" "Body" "target" "medianRT" 973
"170" "2-Back" "Body" "target" "meanRT" 1021.25
"171" "2-Back" "Body" "lure" "medianRT" 1188
"172" "2-Back" "Body" "lure" "meanRT" 1065.5
"173" "2-Back" "Body" "nonlure" "medianRT" 1036
"174" "2-Back" "Body" "nonlure" "meanRT" 1060.16666666667
"175" "2-Back" "Body" "nontarget" "medianRT" 1062.5
"176" "2-Back" "Body" "nontarget" "meanRT" 1061.5
"177" "0-Back" "Tools" "target" "medianRT" 771
"178" "0-Back" "Tools" "target" "meanRT" 803.25
