"sub.conc" "comm.id" "type.id" "diff"
"1" "xi7403.vj3313" "FrontoParietal" "load" -0.0359775005357858
"2" "xi7403.vj3313" "FrontoParietal" "picture" -0.0281333423941459
"3" "xi7403.vj3313" "Visual" "load" 0.0358509523012336
"4" "xi7403.vj3313" "Visual" "picture" 0.0313944029082106
"5" "th3865.gm2212" "FrontoParietal" "load" 0.0150078109994226
"6" "th3865.gm2212" "FrontoParietal" "picture" -0.00422836958411246
"7" "th3865.gm2212" "Visual" "load" -0.0159827848147557
"8" "th3865.gm2212" "Visual" "picture" 0.0656663024207233
"9" "cr148.gv5523" "FrontoParietal" "load" -0.0220295851871046
"10" "cr148.gv5523" "FrontoParietal" "picture" -0.0114109339675861
"11" "cr148.gv5523" "Visual" "load" 0.0116117274916868
"12" "cr148.gv5523" "Visual" "picture" 0.134717674487357
"13" "kk2358.rl6413" "FrontoParietal" "load" 0.0705317868313355
"14" "kk2358.rl6413" "FrontoParietal" "picture" 0.0298893468779436
"15" "kk2358.rl6413" "Visual" "load" -0.0450530076826816
"16" "kk2358.rl6413" "Visual" "picture" 0.0648012602708176
"17" "vp5697.jv3246" "FrontoParietal" "load" 0.000444756141578892
"18" "vp5697.jv3246" "FrontoParietal" "picture" 0.00146487456297387
"19" "vp5697.jv3246" "Visual" "load" -0.0271057562360087
"20" "vp5697.jv3246" "Visual" "picture" 0.0688882063099961
"21" "fz7166.wz5737" "FrontoParietal" "load" -0.029398300157045
"22" "fz7166.wz5737" "FrontoParietal" "picture" -0.0092569245556107
"23" "fz7166.wz5737" "Visual" "load" -0.0332724308101791
"24" "fz7166.wz5737" "Visual" "picture" 0.0620193098890238
"25" "vj9648.yr3375" "FrontoParietal" "load" 0.117701966540181
"26" "vj9648.yr3375" "FrontoParietal" "picture" 0.023883085646442
"27" "vj9648.yr3375" "Visual" "load" -0.0147601987957607
"28" "vj9648.yr3375" "Visual" "picture" 0.092338909329592
"29" "mn3829.lh8474" "FrontoParietal" "load" 0.0275576943474733
"30" "mn3829.lh8474" "FrontoParietal" "picture" -0.0103446446975838
"31" "mn3829.lh8474" "Visual" "load" 0.00391879212293617
"32" "mn3829.lh8474" "Visual" "picture" 0.0670536099774008
"33" "ex8507.yr465" "FrontoParietal" "load" 0.0426332058238753
"34" "ex8507.yr465" "FrontoParietal" "picture" -0.010942785089385
"35" "ex8507.yr465" "Visual" "load" -0.00169557101413487
"36" "ex8507.yr465" "Visual" "picture" 0.0666859131581329
"37" "ba1212.ul9467" "FrontoParietal" "load" 0.109822761127115
"38" "ba1212.ul9467" "FrontoParietal" "picture" 0.0077365723387793
"39" "ba1212.ul9467" "Visual" "load" -0.00727135364541376
"40" "ba1212.ul9467" "Visual" "picture" 0.0776934091685249
"41" "xl4234.na2143" "FrontoParietal" "load" 0.116215717913986
"42" "xl4234.na2143" "FrontoParietal" "picture" 0.00783756840454092
"43" "xl4234.na2143" "Visual" "load" 0.0229873383192736
"44" "xl4234.na2143" "Visual" "picture" 0.0594087501200898
"45" "pa1649.yf889" "FrontoParietal" "load" 0.0227028115082681
"46" "pa1649.yf889" "FrontoParietal" "picture" 0.00604803988467786
"47" "pa1649.yf889" "Visual" "load" 0.00294199129995731
"48" "pa1649.yf889" "Visual" "picture" 0.0710926583381319
"49" "zq5666.wd8632" "FrontoParietal" "load" -0.029788027730575
"50" "zq5666.wd8632" "FrontoParietal" "picture" -0.00512604872340951
"51" "zq5666.wd8632" "Visual" "load" 0.0168230750320876
"52" "zq5666.wd8632" "Visual" "picture" 0.0805428687696479
"53" "wv5494.pl5006" "FrontoParietal" "load" 0.0383455791437236
"54" "wv5494.pl5006" "FrontoParietal" "picture" 0.0170968690599681
"55" "wv5494.pl5006" "Visual" "load" -0.00315752584375589
"56" "wv5494.pl5006" "Visual" "picture" 0.05997700645759
"57" "jb5735.lg2964" "FrontoParietal" "load" 0.00742725411286112
"58" "jb5735.lg2964" "FrontoParietal" "picture" 0.00810616209513485
"59" "jb5735.lg2964" "Visual" "load" -0.0407819350131442
"60" "jb5735.lg2964" "Visual" "picture" 0.0687727195227235
"61" "di3276.zf2566" "FrontoParietal" "load" 0.0410639613822097
"62" "di3276.zf2566" "FrontoParietal" "picture" 0.00195777028256787
"63" "di3276.zf2566" "Visual" "load" 0.0179064355313839
"64" "di3276.zf2566" "Visual" "picture" 0.0713201380570421
"65" "yc3953.jj546" "FrontoParietal" "load" 0.0394488824234887
"66" "yc3953.jj546" "FrontoParietal" "picture" -0.0156583822271419
"67" "yc3953.jj546" "Visual" "load" -0.00351056632464153
"68" "yc3953.jj546" "Visual" "picture" 0.0696931190717729
"69" "sm8332.qp7874" "FrontoParietal" "load" -0.0471207944458344
"70" "sm8332.qp7874" "FrontoParietal" "picture" -0.00996087488757059
"71" "sm8332.qp7874" "Visual" "load" -0.0269423049876414
"72" "sm8332.qp7874" "Visual" "picture" 0.0716937238181669
"73" "cx4463.fe5970" "FrontoParietal" "load" 0.0571866715389331
"74" "cx4463.fe5970" "FrontoParietal" "picture" 0.00582434108269125
"75" "cx4463.fe5970" "Visual" "load" 0.0198458870939092
"76" "cx4463.fe5970" "Visual" "picture" 0.0940776565598858
"77" "gk193.to310" "FrontoParietal" "load" 0.00313081622350414
"78" "gk193.to310" "FrontoParietal" "picture" 0.00101300206708652
"79" "gk193.to310" "Visual" "load" 0.0274688165276758
"80" "gk193.to310" "Visual" "picture" 0.110282283168935
"81" "ok9336.an3359" "FrontoParietal" "load" 0.0257390781334724
"82" "ok9336.an3359" "FrontoParietal" "picture" 0.000971370921908979
"83" "ok9336.an3359" "Visual" "load" -0.00357336236628669
"84" "ok9336.an3359" "Visual" "picture" 0.107166231416818
"85" "hi4.qt7134" "FrontoParietal" "load" 0.0256214007887524
"86" "hi4.qt7134" "FrontoParietal" "picture" 0.000127577110916446
"87" "hi4.qt7134" "Visual" "load" 0.00450947960462755
"88" "hi4.qt7134" "Visual" "picture" 0.107621865318642
"89" "wr637.be48" "FrontoParietal" "load" 0.0416066955537746
"90" "wr637.be48" "FrontoParietal" "picture" 0.00410386510683017
"91" "wr637.be48" "Visual" "load" 0.0165409434589206
"92" "wr637.be48" "Visual" "picture" 0.0896902993287628
"93" "mv6385.nb2856" "FrontoParietal" "load" 0.0858962997279687
"94" "mv6385.nb2856" "FrontoParietal" "picture" -0.0159406614301622
"95" "mv6385.nb2856" "Visual" "load" 0.0350123629646144
"96" "mv6385.nb2856" "Visual" "picture" 0.0475811780917053
"97" "gk4777.oo2117" "FrontoParietal" "load" 0.0378391468092935
"98" "gk4777.oo2117" "FrontoParietal" "picture" 0.0282935336807543
"99" "gk4777.oo2117" "Visual" "load" -0.0125413894956691
"100" "gk4777.oo2117" "Visual" "picture" 0.0476672490906308
"101" "hn492.og5198" "FrontoParietal" "load" 0.034586094584819
"102" "hn492.og5198" "FrontoParietal" "picture" -0.00272760616541707
"103" "hn492.og5198" "Visual" "load" -0.0219629746945366
"104" "hn492.og5198" "Visual" "picture" 0.112352441626522
"105" "ho7321.qi8592" "FrontoParietal" "load" -0.0416008179038637
"106" "ho7321.qi8592" "FrontoParietal" "picture" 0.0250613704353291
"107" "ho7321.qi8592" "Visual" "load" -0.0120610526765501
"108" "ho7321.qi8592" "Visual" "picture" 0.0521429373412395
"109" "nm9643.gc7272" "FrontoParietal" "load" 0.0103205215953939
"110" "nm9643.gc7272" "FrontoParietal" "picture" 0.0140347426217374
"111" "nm9643.gc7272" "Visual" "load" 0.0162095938667772
"112" "nm9643.gc7272" "Visual" "picture" 0.0583850111495245
"113" "sq7540.yp6652" "FrontoParietal" "load" 0.0107631964769837
"114" "sq7540.yp6652" "FrontoParietal" "picture" -0.000960340733731317
"115" "sq7540.yp6652" "Visual" "load" 0.0563098822538451
"116" "sq7540.yp6652" "Visual" "picture" 0.027691015251208
"117" "em4298.dt2936" "FrontoParietal" "load" 0.0647443151903306
"118" "em4298.dt2936" "FrontoParietal" "picture" 0.00234679568226832
"119" "em4298.dt2936" "Visual" "load" -0.0179377615119709
"120" "em4298.dt2936" "Visual" "picture" 0.113002774337853
"121" "rw3835.ez9963" "FrontoParietal" "load" 0.0256317710748347
"122" "rw3835.ez9963" "FrontoParietal" "picture" 0.00159066583941748
"123" "rw3835.ez9963" "Visual" "load" -0.0303601202247033
"124" "rw3835.ez9963" "Visual" "picture" 0.0769866322491249
"125" "hw3146.va7234" "FrontoParietal" "load" 0.01968081354145
"126" "hw3146.va7234" "FrontoParietal" "picture" 0.0100324941219323
"127" "hw3146.va7234" "Visual" "load" 0.00911074331125
"128" "hw3146.va7234" "Visual" "picture" 0.0560658905669398
"129" "kz945.ay5994" "FrontoParietal" "load" 0.033972607143231
"130" "kz945.ay5994" "FrontoParietal" "picture" 0.00313552973276468
"131" "kz945.ay5994" "Visual" "load" -0.0167966933505972
"132" "kz945.ay5994" "Visual" "picture" 0.0761692141850346
"133" "pi718.xp8815" "FrontoParietal" "load" 0.0676740131705284
"134" "pi718.xp8815" "FrontoParietal" "picture" 0.0157590093644338
"135" "pi718.xp8815" "Visual" "load" -0.0195051185511304
"136" "pi718.xp8815" "Visual" "picture" 0.126917048541305
"137" "xl7300.vm3849" "FrontoParietal" "load" 0.0635428388817761
"138" "xl7300.vm3849" "FrontoParietal" "picture" 0.0154885033897752
"139" "xl7300.vm3849" "Visual" "load" 0.00383857602541138
"140" "xl7300.vm3849" "Visual" "picture" 0.0825306624321204
"141" "xf5953.bg7946" "FrontoParietal" "load" 0.0372146508221651
"142" "xf5953.bg7946" "FrontoParietal" "picture" -0.00571448231924093
"143" "xf5953.bg7946" "Visual" "load" -0.015518337931157
"144" "xf5953.bg7946" "Visual" "picture" 0.069500031815353
"145" "ds6990.qr9070" "FrontoParietal" "load" -0.0528247079799772
"146" "ds6990.qr9070" "FrontoParietal" "picture" 0.00828694120817608
"147" "ds6990.qr9070" "Visual" "load" -0.0358521847910028
"148" "ds6990.qr9070" "Visual" "picture" 0.0686939881407271
"149" "qh8768.rq6067" "FrontoParietal" "load" 0.00918993495068501
"150" "qh8768.rq6067" "FrontoParietal" "picture" -0.0203713792045829
"151" "qh8768.rq6067" "Visual" "load" -0.0108418069315591
"152" "qh8768.rq6067" "Visual" "picture" 0.0487567131870549
"153" "ii3675.bd1678" "FrontoParietal" "load" -0.0416510770619159
"154" "ii3675.bd1678" "FrontoParietal" "picture" 0.0038265431122899
"155" "ii3675.bd1678" "Visual" "load" -0.0230802936279846
"156" "ii3675.bd1678" "Visual" "picture" 0.0631198266217871
"157" "ft2978.cv2036" "FrontoParietal" "load" 0.0246896325366169
"158" "ft2978.cv2036" "FrontoParietal" "picture" 0.0200664672735235
"159" "ft2978.cv2036" "Visual" "load" -0.0282362838796555
"160" "ft2978.cv2036" "Visual" "picture" 0.0327910330622518
"161" "vk699.mw4145" "FrontoParietal" "load" -0.0353210767250878
"162" "vk699.mw4145" "FrontoParietal" "picture" -0.00607365431449323
"163" "vk699.mw4145" "Visual" "load" -0.0033395207387189
"164" "vk699.mw4145" "Visual" "picture" 0.0706426012118072
"165" "kt7781.to4928" "FrontoParietal" "load" -0.0239672562566328
"166" "kt7781.to4928" "FrontoParietal" "picture" 0.00288111762864713
"167" "kt7781.to4928" "Visual" "load" -0.00732799478487045
"168" "kt7781.to4928" "Visual" "picture" 0.0676510111740048
"169" "pf1072.ou3514" "FrontoParietal" "load" 0.212340648759065
"170" "pf1072.ou3514" "FrontoParietal" "picture" 0.00247039695028901
"171" "pf1072.ou3514" "Visual" "load" -0.00860306083386481
"172" "pf1072.ou3514" "Visual" "picture" 0.0695731474550249
"173" "ez9041.kn8119" "FrontoParietal" "load" 0.0371881312722572
"174" "ez9041.kn8119" "FrontoParietal" "picture" -0.015658319257741
"175" "ez9041.kn8119" "Visual" "load" 0.0394927555128164
"176" "ez9041.kn8119" "Visual" "picture" 0.0855008215579176
"177" "ct513.xr442" "FrontoParietal" "load" 0.0326433209548037
"178" "ct513.xr442" "FrontoParietal" "picture" 0.0149069531543716
"179" "ct513.xr442" "Visual" "load" 0.00089288453813674
"180" "ct513.xr442" "Visual" "picture" 0.0413136587588018
"181" "fk4173.gz4507" "FrontoParietal" "load" 0.00651907314937766
"182" "fk4173.gz4507" "FrontoParietal" "picture" 0.0104233857908248
"183" "fk4173.gz4507" "Visual" "load" 0.0246196020808767
"184" "fk4173.gz4507" "Visual" "picture" 0.0198884454178811
"185" "tx698.vs9439" "FrontoParietal" "load" 0.0170114052315611
"186" "tx698.vs9439" "FrontoParietal" "picture" -0.00213956144456379
